# ----------------------------------------
# 1 Master View
# Webanalytics_Analyse
# 20100101-20181217
# ----------------------------------------

Default Channel Grouping (Standard-Channelgruppierung),Alter,Land,Absprungrate,Nutzer,Seiten/Sitzung,Durchschnittl. Sitzungsdauer,Eindeutige Ereignisse,Hinzufügungen des Produkts zum Einkaufswagen,Purchase Completed (Abschlüsse für Zielvorhaben 1),E-Commerce-Conversion-Rate,Durchschn. Preis,Durchschn. Bestellwert,Gesamtwert,Umsatz
Social,55-64,Thailand,"73,31 %",1.847,"1,40",00:00:20,72,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Argentina,"73,25 %",685,"1,54",00:00:35,216,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,35-44,Australia,"73,15 %",101,"1,74",00:00:25,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,55-64,Taiwan,"73,15 %",94,"1,67",00:02:06,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Finland,"73,15 %",108,"1,40",00:00:06,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Qatar,"73,15 %",87,"1,47",00:00:22,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Venezuela,"73,15 %",101,"1,27",00:00:15,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Russia,"73,08 %",418,"1,82",00:00:46,79,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Peru,"73,07 %",375,"1,37",00:00:19,79,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Brazil,"73,02 %",4.645,"1,92",00:00:43,1.435,130,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Turkey,"72,91 %",743,"1,69",00:00:26,281,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Brazil,"72,80 %",1.284,"1,42",00:00:26,310,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Serbia,"72,69 %",209,"1,55",00:01:33,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Brazil,"72,33 %",3.203,"1,63",00:00:34,1.046,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Spain,"72,33 %",123,"1,99",00:00:40,14,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Poland,"72,28 %",447,"1,51",00:00:22,79,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Sweden,"72,26 %",310,"2,09",00:00:32,58,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Venezuela,"72,25 %",462,"11,02",00:03:47,332,173,14,"9,63 %","20,09 $","99,46 $","4.972,83 $","4.972,83 $"
Social,45-54,Bosnia & Herzegovina,"72,22 %",159,"1,56",00:00:29,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Israel,"72,09 %",512,"1,87",00:01:10,137,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Bulgaria,"72,08 %",534,"2,11",00:00:45,188,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Turkey,"72,03 %",786,"1,42",00:00:19,245,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Chile,"72,02 %",353,"2,50",00:01:08,123,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Russia,"72,01 %",3.751,"1,87",00:00:25,721,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Spain,"71,95 %",931,"1,74",00:00:25,202,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Sweden,"71,89 %",418,"1,90",00:00:33,101,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,Nigeria,"71,69 %",267,"2,26",00:00:42,144,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Ukraine,"71,59 %",1.767,"1,73",00:00:43,418,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,China,"71,57 %",1.169,"2,15",00:01:05,216,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Algeria,"71,47 %",685,"2,11",00:01:29,245,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,United Kingdom,"71,45 %",591,"2,40",00:00:49,151,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,South Korea,"71,45 %",563,"1,64",00:00:40,87,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Indonesia,"71,43 %",671,"1,69",00:00:32,94,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Italy,"71,43 %",252,"1,43",00:00:24,65,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Taiwan,"71,42 %",1.594,"1,82",00:00:55,267,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Brazil,"71,41 %",6.254,"1,67",00:00:37,1.919,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
