"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","PISAMATH","GIRL","MEANSCORE","A","2012",520.185,
"FIN","PISAMATH","GIRL","MEANSCORE","A","2015",515,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2003",507,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2006",492,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2009",489,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2012",490.853,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2015",490,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2003",499,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2006",494,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2009",505,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2012",506.625,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2015",498,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2003",436,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2006",457,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2009",459,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2012",448.984,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2015",454,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2003",486,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2006",486,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2009",484,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2012",472.664,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2015",473,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2003",523,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2006",508,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2009",505,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2012",495.947,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2015",489,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2003",495,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2006",496,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2009",483,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2012",493.705,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2015",495,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2003",457,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2006",453,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2009",475,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2012",475.794,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2015",480,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2003",530,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2006",513,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2009",524,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2012",527.011,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2015",525,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2003",528,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2006",543,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2009",544,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2012",544.193,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2015",528,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2003",485,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2006",482,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2009",479,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2012",477.117,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2015",480,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2003",380,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2006",401,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2009",412,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2012",406.427,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2015",404,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2003",535,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2006",524,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2009",517,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2012",517.738,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2015",511,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2003",516,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2006",517,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2009",515,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2012",492.057,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2015",491,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2003",492,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2006",487,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2009",495,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2012",488.293,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2015",503,
"POL","PISAMATH","GIRL","MEANSCORE","A","2003",487,
"POL","PISAMATH","GIRL","MEANSCORE","A","2006",491,
"POL","PISAMATH","GIRL","MEANSCORE","A","2009",493,
"POL","PISAMATH","GIRL","MEANSCORE","A","2012",515.533,
"POL","PISAMATH","GIRL","MEANSCORE","A","2015",499,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2003",460,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2006",459,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2009",481,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2012",481.296,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2015",487,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2003",489,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2006",485,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2009",495,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2012",476.712,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2015",472,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2003",481,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2006",476,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2009",474,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2012",475.965,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2015",478,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2003",506,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2006",500,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2009",495,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2012",479.629,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2015",495,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2003",518,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2006",523,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2009",524,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2012",524.473,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2015",515,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2003",415,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2006",421,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2009",440,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2012",443.948,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2015",418,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2006",487,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2009",482,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2012",487.815,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2015",487,
"USA","PISAMATH","GIRL","MEANSCORE","A","2003",480,
"USA","PISAMATH","GIRL","MEANSCORE","A","2006",470,
"USA","PISAMATH","GIRL","MEANSCORE","A","2009",477,
"USA","PISAMATH","GIRL","MEANSCORE","A","2012",478.995,
"USA","PISAMATH","GIRL","MEANSCORE","A","2015",465,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2003",348,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2006",361,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2009",379,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2012",382.925,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2015",370,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2006",396,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2009",410,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2012",410.543,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2015",413,
"EST","PISAMATH","GIRL","MEANSCORE","A","2006",514,
"EST","PISAMATH","GIRL","MEANSCORE","A","2009",508,
"EST","PISAMATH","GIRL","MEANSCORE","A","2012",517.93,
"EST","PISAMATH","GIRL","MEANSCORE","A","2015",517,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2003",358,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2006",382,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2009",372,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2012",372.785,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2015",387,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2006",436,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2009",443,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2012",460.749,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2015",466,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2003",463,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2009",467,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2012",482.944,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2015",491,
"SVN","PISAMATH","GIRL","MEANSCORE","A","2006",502,
"SVN","PISAMATH","GIRL","MEANSCORE","A","2009",501,
"SVN","PISAMATH","GIRL","MEANSCORE","A","2012",499.387,
"SVN","PISAMATH","GIRL","MEANSCORE","A","2015",508,
"OAVG","PISAMATH","GIRL","MEANSCORE","A","2003",494.833,
"OAVG","PISAMATH","GIRL","MEANSCORE","A","2006",488.588,
"OAVG","PISAMATH","GIRL","MEANSCORE","A","2009",489.794,
"OAVG","PISAMATH","GIRL","MEANSCORE","A","2012",488.551,
"OAVG","PISAMATH","GIRL","MEANSCORE","A","2015",486,
"LVA","PISAMATH","GIRL","MEANSCORE","A","2015",483,
"SGP","PISAMATH","GIRL","MEANSCORE","A","2015",564,
"COL","PISAMATH","GIRL","MEANSCORE","A","2015",384,
"HKG","PISAMATH","GIRL","MEANSCORE","A","2015",547,
"PER","PISAMATH","GIRL","MEANSCORE","A","2015",382,
"TWN","PISAMATH","GIRL","MEANSCORE","A","2015",539,
"MAC","PISAMATH","GIRL","MEANSCORE","A","2015",548,
