Channel,Alter,Land,Absprungrate,Nutzer,Seiten/Sitzung,Sitzungsdauer,Eindeutige Ereignisse,Einkaufswagen,Purchase_Completed,Conversion_Rate,Preis,Betsellwert,Gesamtwert,Umsatz
70,Referral,18-24,China,79.86,101,8.37,00:02:57,115,43,0,0.0,0.0,0.0,0.0,0.0
71,Social,35-44,Switzerland,79.86,144,2.71,00:00:51,43,0,0,0.0,0.0,0.0,0.0,0.0
72,Social,45-54,Argentina,79.6,339,1.33,00:00:35,65,0,0,0.0,0.0,0.0,0.0,0.0
73,Social,45-54,Morocco,79.19,173,1.29,00:00:31,7,0,0,0.0,0.0,0.0,0.0,0.0
74,Social,25-34,Italy,79.11,959,1.9,00:00:55,296,7,0,0.0,0.0,0.0,0.0,0.0
75,Social,55-64,Argentina,78.99,231,1.3,00:00:13,29,0,0,0.0,0.0,0.0,0.0,0.0
76,Organic Search,35-44,Slovenia,78.83,115,1.31,00:00:13,29,0,0,0.0,0.0,0.0,0.0,0.0
77,Social,25-34,Azerbaijan,78.31,123,1.39,00:02:17,0,0,0,0.0,0.0,0.0,0.0,0.0
78,Display,25-34,Brazil,78.28,137,1.4,00:00:54,0,0,0,0.0,0.0,0.0,0.0,0.0
79,Social,45-54,Kenya,78.22,101,2.5,00:00:37,36,14,0,0.0,0.0,0.0,0.0,0.0
80,Social,65+,Taiwan,78.22,101,1.64,00:00:12,58,7,0,0.0,0.0,0.0,0.0,0.0
81,Social,35-44,Algeria,77.84,483,1.58,00:00:18,137,7,0,0.0,0.0,0.0,0.0,0.0
82,Organic Search,45-54,United Arab Emirates,77.69,123,1.94,00:00:34,22,22,0,0.0,0.0,0.0,0.0,0.0
83,Social,18-24,Bolivia,77.69,130,1.22,00:00:12,43,0,0,0.0,0.0,0.0,0.0,0.0
84,Social,65+,Ukraine,77.69,130,1.38,00:00:07,7,0,0,0.0,0.0,0.0,0.0,0.0
85,Social,65+,Japan,77.69,1190,1.51,00:00:28,108,0,0,0.0,0.0,0.0,0.0,0.0
86,Social,55-64,Japan,77.52,1190,1.43,00:00:25,43,0,0,0.0,0.0,0.0,0.0,0.0
87,Social,25-34,Croatia,77.38,238,1.46,00:00:14,22,0,0,0.0,0.0,0.0,0.0,0.0
88,Social,55-64,United Kingdom,77.38,245,2.26,00:00:36,36,7,0,0.0,0.0,0.0,0.0,0.0
89,Organic Search,25-34,Kenya,77.23,209,1.77,00:00:45,22,0,0,0.0,0.0,0.0,0.0,0.0
90,Social,35-44,Russia,77.08,1428,1.51,00:00:26,166,0,0,0.0,0.0,0.0,0.0,0.0
91,Affiliates,35-44,Hong Kong,76.6,94,1.38,00:00:28,7,0,0,0.0,0.0,0.0,0.0,0.0
92,Organic Search,25-34,Ghana,76.6,79,2.22,00:01:57,43,0,0,0.0,0.0,0.0,0.0,0.0
93,Organic Search,25-34,Macedonia (FYROM),76.6,87,1.22,00:00:23,7,0,0,0.0,0.0,0.0,0.0,0.0
94,Organic Search,45-54,Peru,76.6,87,5.76,00:01:54,94,0,0,0.0,0.0,0.0,0.0,0.0
95,Organic Search,65+,Indonesia,76.6,87,4.45,00:03:58,58,7,0,0.0,0.0,0.0,0.0,0.0
96,Social,55-64,Sweden,76.6,94,2.15,00:01:43,22,0,0,0.0,0.0,0.0,0.0,0.0
97,Social,55-64,Taiwan,76.6,87,2.38,00:00:29,7,0,0,0.0,0.0,0.0,0.0,0.0
98,Display,35-44,Brazil,76.42,101,1.76,00:00:16,0,0,0,0.0,0.0,0.0,0.0,0.0
99,Social,18-24,Japan,76.16,1811,1.7,00:00:32,151,0,0,0.0,0.0,0.0,0.0,0.0
100,Social,55-64,Australia,76.16,123,1.53,00:00:10,22,0,0,0.0,0.0,0.0,0.0,0.0
101,Social,65+,United Kingdom,76.11,180,1.64,00:00:44,29,0,0,0.0,0.0,0.0,0.0,0.0
102,Social,25-34,Slovakia,76.08,209,1.69,00:00:17,58,7,0,0.0,0.0,0.0,0.0,0.0
103,Social,35-44,Israel,76.05,599,1.46,00:00:17,137,0,0,0.0,0.0,0.0,0.0,0.0
104,Social,18-24,Argentina,75.96,1068,1.48,00:00:39,195,0,0,0.0,0.0,0.0,0.0,0.0
105,Social,45-54,Poland,75.84,440,1.61,00:00:22,173,0,0,0.0,0.0,0.0,0.0,0.0
106,Display,25-34,Canada,75.84,404,3.61,00:00:42,188,7,0,0.0,0.0,0.0,0.0,0.0
107,Social,25-34,Colombia,75.74,952,1.72,00:00:48,325,7,0,0.0,0.0,0.0,0.0,0.0
108,Affiliates,25-34,Malaysia,75.65,87,2.19,00:01:09,7,0,0,0.0,0.0,0.0,0.0,0.0
109,Organic Search,45-54,Chile,75.65,101,4.33,00:02:06,22,0,0,0.0,0.0,0.0,0.0,0.0
110,Organic Search,55-64,Austria,75.65,115,1.88,00:00:15,36,7,0,0.0,0.0,0.0,0.0,0.0
111,Social,25-34,Hungary,75.63,238,1.37,00:00:08,29,0,0,0.0,0.0,0.0,0.0,0.0
112,Social,35-44,Portugal,75.63,216,1.91,00:00:41,0,0,0,0.0,0.0,0.0,0.0,0.0
113,Social,65+,Romania,75.63,224,1.39,00:00:19,43,0,0,0.0,0.0,0.0,0.0,0.0
114,Display,55-64,Canada,75.38,310,1.75,00:00:16,50,0,0,0.0,0.0,0.0,0.0,0.0
115,Social,35-44,South Korea,75.37,887,1.72,00:00:24,238,0,0,0.0,0.0,0.0,0.0,0.0
116,Social,25-34,Latvia,75.14,159,1.38,00:00:10,14,0,0,0.0,0.0,0.0,0.0,0.0
117,Display,45-54,United States,75.07,3722,2.42,00:01:10,1371,418,36,0.76,12.79,128.3,4618.65,4618.65
118,Organic Search,65+,Germany,75.0,130,2.56,00:00:35,58,0,0,0.0,0.0,0.0,0.0,0.0
119,Social,35-44,Belarus,75.0,137,1.56,00:00:06,7,0,0,0.0,0.0,0.0,0.0,0.0
120,Social,18-24,Ukraine,74.87,1104,1.48,00:00:22,166,7,0,0.0,0.0,0.0,0.0,0.0
121,Social,18-24,Poland,74.73,2409,1.59,00:00:23,512,14,0,0.0,0.0,0.0,0.0,0.0
122,(Other),45-54,United States,74.71,79,2.9,00:01:19,36,0,0,0.0,0.0,0.0,0.0,0.0
123,Direct,18-24,Saudi Arabia,74.71,72,2.07,00:02:36,22,0,0,0.0,0.0,0.0,0.0,0.0
124,Organic Search,45-54,Ukraine,74.71,87,1.83,00:00:24,14,0,0,0.0,0.0,0.0,0.0,0.0
125,Referral,25-34,Denmark,74.71,72,1.57,00:00:25,14,0,0,0.0,0.0,0.0,0.0,0.0
126,Referral,65+,United Kingdom,74.71,87,3.64,00:01:01,29,22,0,0.0,0.0,0.0,0.0,0.0
127,Social,55-64,Tunisia,74.71,87,1.66,00:00:35,43,0,0,0.0,0.0,0.0,0.0,0.0
128,Affiliates,18-24,South Korea,74.6,137,1.52,00:01:05,14,7,0,0.0,0.0,0.0,0.0,0.0
129,Social,55-64,South Korea,74.6,252,1.37,00:00:17,29,0,0,0.0,0.0,0.0,0.0,0.0
130,Social,25-34,Japan,74.49,3001,1.97,00:00:40,541,36,0,0.0,0.0,0.0,0.0,0.0
131,Organic Search,35-44,Croatia,74.38,260,3.28,00:00:38,151,7,0,0.0,0.0,0.0,0.0,0.0
132,Social,45-54,Vietnam,74.33,1233,1.86,00:00:44,245,0,0,0.0,0.0,0.0,0.0,0.0
133,Social,25-34,Tunisia,74.22,628,1.4,00:00:26,238,7,0,0.0,0.0,0.0,0.0,0.0
134,Social,35-44,Japan,74.21,2640,2.09,00:00:43,721,130,0,0.0,0.0,0.0,0.0,0.0
135,Display,18-24,Indonesia,74.1,123,1.3,00:00:28,0,0,0,0.0,0.0,0.0,0.0,0.0
136,Organic Search,45-54,Turkey,74.1,166,1.61,00:00:11,29,0,0,0.0,0.0,0.0,0.0,0.0
137,Social,25-34,Algeria,73.95,606,1.46,00:00:46,137,7,0,0.0,0.0,0.0,0.0,0.0
138,Social,65+,South Korea,73.93,209,1.9,00:00:30,79,7,0,0.0,0.0,0.0,0.0,0.0
139,Affiliates,25-34,New Zealand,73.72,79,3.05,00:02:17,94,0,0,0.0,0.0,0.0,0.0,0.0
140,Direct,18-24,Turkey,73.72,519,2.07,00:00:33,180,7,0,0.0,0.0,0.0,0.0,0.0
141,Social,25-34,Portugal,73.72,238,2.03,00:00:41,87,7,0,0.0,0.0,0.0,0.0,0.0
142,Social,45-54,Dominican Republic,73.72,130,1.37,00:00:13,29,0,0,0.0,0.0,0.0,0.0,0.0
143,Social,18-24,Azerbaijan,73.61,216,1.74,00:00:39,50,0,0,0.0,0.0,0.0,0.0,0.0
144,Display,18-24,Canada,73.56,353,4.27,00:00:56,202,7,0,0.0,0.0,0.0,0.0,0.0
145,Social,18-24,Russia,73.51,2792,1.67,00:00:30,390,43,0,0.0,0.0,0.0,0.0,0.0
146,Social,18-24,Belarus,73.47,231,1.5,00:00:20,43,14,0,0.0,0.0,0.0,0.0,0.0
147,Social,18-24,Hungary,73.47,245,1.85,00:00:40,50,0,0,0.0,0.0,0.0,0.0,0.0
148,Social,25-34,Ecuador,73.47,245,1.27,00:00:18,14,0,0,0.0,0.0,0.0,0.0,0.0
149,Organic Search,18-24,Estonia,73.42,79,1.56,00:00:27,0,0,0,0.0,0.0,0.0,0.0,0.0
150,Organic Search,35-44,Bosnia & Herzegovina,73.42,79,3.84,00:01:12,50,0,0,0.0,0.0,0.0,0.0,0.0
151,Social,25-34,Armenia,73.42,79,4.29,00:00:39,79,14,0,0.0,0.0,0.0,0.0,0.0
152,Social,45-54,Brazil,73.41,2193,1.52,00:00:22,584,0,0,0.0,0.0,0.0,0.0,0.0
153,Social,45-54,Japan,73.37,1695,1.7,00:00:40,238,0,0,0.0,0.0,0.0,0.0,0.0
154,Social,55-64,Thailand,73.31,1847,1.4,00:00:20,72,0,0,0.0,0.0,0.0,0.0,0.0
155,Social,35-44,Argentina,73.25,685,1.54,00:00:35,216,0,0,0.0,0.0,0.0,0.0,0.0
156,Affiliates,35-44,Australia,73.15,101,1.74,00:00:25,7,0,0,0.0,0.0,0.0,0.0,0.0
157,Direct,55-64,Taiwan,73.15,94,1.67,00:02:06,22,0,0,0.0,0.0,0.0,0.0,0.0
158,Social,18-24,Finland,73.15,108,1.4,00:00:06,0,0,0,0.0,0.0,0.0,0.0,0.0
159,Social,35-44,Qatar,73.15,87,1.47,00:00:22,0,0,0,0.0,0.0,0.0,0.0,0.0
160,Social,65+,Venezuela,73.15,101,1.27,00:00:15,50,0,0,0.0,0.0,0.0,0.0,0.0
161,Social,65+,Russia,73.08,418,1.82,00:00:46,79,0,0,0.0,0.0,0.0,0.0,0.0
162,Social,55-64,Peru,73.07,375,1.37,00:00:19,79,0,0,0.0,0.0,0.0,0.0,0.0
163,Social,25-34,Brazil,73.02,4645,1.92,00:00:43,1435,130,0,0.0,0.0,0.0,0.0,0.0
164,Social,55-64,Turkey,72.91,743,1.69,00:00:26,281,0,0,0.0,0.0,0.0,0.0,0.0
165,Social,55-64,Brazil,72.8,1284,1.42,00:00:26,310,0,0,0.0,0.0,0.0,0.0,0.0
166,Social,45-54,Serbia,72.69,209,1.55,00:01:33,7,0,0,0.0,0.0,0.0,0.0,0.0
167,Social,35-44,Brazil,72.33,3203,1.63,00:00:34,1046,22,0,0.0,0.0,0.0,0.0,0.0
168,Organic Search,65+,Spain,72.33,123,1.99,00:00:40,14,7,0,0.0,0.0,0.0,0.0,0.0
169,Social,65+,Poland,72.28,447,1.51,00:00:22,79,0,0,0.0,0.0,0.0,0.0,0.0
170,Social,18-24,Sweden,72.26,310,2.09,00:00:32,58,22,0,0.0,0.0,0.0,0.0,0.0
171,Social,25-34,Venezuela,72.25,462,11.02,00:03:47,332,173,14,9.63,20.09,99.46,4972.83,4972.83
172,Social,45-54,Bosnia & Herzegovina,72.22,159,1.56,00:00:29,22,0,0,0.0,0.0,0.0,0.0,0.0
173,Social,25-34,Israel,72.09,512,1.87,00:01:10,137,0,0,0.0,0.0,0.0,0.0,0.0
174,Organic Search,25-34,Bulgaria,72.08,534,2.11,00:00:45,188,43,0,0.0,0.0,0.0,0.0,0.0
175,Social,65+,Turkey,72.03,786,1.42,00:00:19,245,0,0,0.0,0.0,0.0,0.0,0.0
176,Social,18-24,Chile,72.02,353,2.5,00:01:08,123,7,0,0.0,0.0,0.0,0.0,0.0
177,Social,25-34,Russia,72.01,3751,1.87,00:00:25,721,22,0,0.0,0.0,0.0,0.0,0.0
178,Social,18-24,Spain,71.95,931,1.74,00:00:25,202,7,0,0.0,0.0,0.0,0.0,0.0
179,Social,25-34,Sweden,71.89,418,1.9,00:00:33,101,7,0,0.0,0.0,0.0,0.0,0.0
180,Direct,25-34,Nigeria,71.69,267,2.26,00:00:42,144,7,0,0.0,0.0,0.0,0.0,0.0
181,Social,25-34,Ukraine,71.59,1767,1.73,00:00:43,418,36,0,0.0,0.0,0.0,0.0,0.0
182,Organic Search,18-24,China,71.57,1169,2.15,00:01:05,216,0,0,0.0,0.0,0.0,0.0,0.0
183,Social,18-24,Algeria,71.47,685,2.11,00:01:29,245,29,0,0.0,0.0,0.0,0.0,0.0
184,Social,45-54,United Kingdom,71.45,591,2.4,00:00:49,151,22,0,0.0,0.0,0.0,0.0,0.0
185,Social,45-54,South Korea,71.45,563,1.64,00:00:40,87,0,0,0.0,0.0,0.0,0.0,0.0
186,Social,45-54,Indonesia,71.43,671,1.69,00:00:32,94,22,0,0.0,0.0,0.0,0.0,0.0
187,Social,65+,Italy,71.43,252,1.43,00:00:24,65,0,0,0.0,0.0,0.0,0.0,0.0
188,Social,25-34,Taiwan,71.42,1594,1.82,00:00:55,267,29,0,0.0,0.0,0.0,0.0,0.0
189,Social,18-24,Brazil,71.41,6254,1.67,00:00:37,1919,36,0,0.0,0.0,0.0,0.0,0.0
190,Affiliates,18-24,Japan,71.29,94,1.29,00:00:07,0,0,0,0.0,0.0,0.0,0.0,0.0
191,Affiliates,18-24,Netherlands,71.29,94,1.71,00:00:25,29,0,0,0.0,0.0,0.0,0.0,0.0
192,Organic Search,55-64,New Zealand,71.29,87,4.0,00:01:14,58,0,0,0.0,0.0,0.0,0.0,0.0
193,Organic Search,65+,Mexico,71.29,101,2.43,00:00:38,7,0,0,0.0,0.0,0.0,0.0,0.0
194,Referral,45-54,Netherlands,71.29,94,2.0,00:00:42,7,0,0,0.0,0.0,0.0,0.0,0.0
195,Social,25-34,Montenegro,71.29,101,1.86,00:00:38,0,0,0,0.0,0.0,0.0,0.0,0.0
196,Social,45-54,Nigeria,71.29,94,1.5,00:00:22,14,0,0,0.0,0.0,0.0,0.0,0.0
197,Social,35-44,Peru,71.23,1522,2.02,00:00:58,685,0,0,0.0,0.0,0.0,0.0,0.0
198,Social,55-64,Indonesia,71.17,267,1.37,00:00:38,22,0,0,0.0,0.0,0.0,0.0,0.0
199,Organic Search,35-44,China,71.16,505,2.42,00:01:37,202,0,0,0.0,0.0,0.0,0.0,0.0
200,Social,25-34,Poland,71.1,1738,1.67,00:00:43,426,14,0,0.0,0.0,0.0,0.0,0.0
201,Display,18-24,India,71.1,115,2.0,00:01:50,72,0,0,0.0,0.0,0.0,0.0,0.0
202,Social,25-34,China,71.1,159,2.5,00:00:56,29,7,0,0.0,0.0,0.0,0.0,0.0
203,Organic Search,25-34,Nigeria,70.88,426,1.71,00:01:13,137,14,0,0.0,0.0,0.0,0.0,0.0
204,Organic Search,18-24,Serbia,70.81,382,1.74,00:00:38,72,7,0,0.0,0.0,0.0,0.0,0.0
205,Social,35-44,Turkey,70.79,4393,1.56,00:00:32,1479,0,0,0.0,0.0,0.0,0.0,0.0
206,Organic Search,18-24,Belarus,70.73,123,4.8,00:01:16,36,7,0,0.0,0.0,0.0,0.0,0.0
207,Organic Search,25-34,Bosnia & Herzegovina,70.73,115,2.7,00:00:58,50,7,0,0.0,0.0,0.0,0.0,0.0
208,Organic Search,35-44,Morocco,70.73,101,2.7,00:00:40,43,7,0,0.0,0.0,0.0,0.0,0.0
209,Social,35-44,Denmark,70.73,115,1.99,00:00:31,0,0,0,0.0,0.0,0.0,0.0,0.0
210,Social,35-44,Ghana,70.73,115,1.53,00:00:27,0,0,0,0.0,0.0,0.0,0.0,0.0
211,Social,18-24,Germany,70.72,2005,2.04,00:00:50,519,65,0,0.0,0.0,0.0,0.0,0.0
212,Social,45-54,France,70.65,346,1.49,00:00:47,43,7,0,0.0,0.0,0.0,0.0,0.0
213,Social,18-24,Morocco,70.64,591,1.67,00:01:09,123,14,0,0.0,0.0,0.0,0.0,0.0
214,Social,65+,Mexico,70.56,1089,1.7,00:00:42,317,0,0,0.0,0.0,0.0,0.0,0.0
215,Social,18-24,Venezuela,70.52,555,2.27,00:01:15,216,22,0,0.0,0.0,0.0,0.0,0.0
216,Organic Search,45-54,Poland,70.41,224,2.57,00:01:17,72,7,0,0.0,0.0,0.0,0.0,0.0
217,Social,45-54,Peru,70.4,837,1.85,00:00:49,411,0,0,0.0,0.0,0.0,0.0,0.0
218,Direct,18-24,Ukraine,70.14,130,2.15,00:01:56,22,0,0,0.0,0.0,0.0,0.0,0.0
219,Organic Search,65+,France,70.14,130,2.45,00:00:51,58,22,0,0.0,0.0,0.0,0.0,0.0
220,Social,35-44,Kosovo,70.14,130,1.4,00:00:14,0,0,0,0.0,0.0,0.0,0.0,0.0
221,Social,45-54,Taiwan,69.9,375,2.32,00:01:00,65,0,0,0.0,0.0,0.0,0.0,0.0
222,Social,45-54,Romania,69.82,426,4.02,00:03:07,108,0,0,0.0,0.0,0.0,0.0,0.0
223,Organic Search,25-34,Slovakia,69.78,555,2.69,00:01:14,188,14,0,0.0,0.0,0.0,0.0,0.0
224,Direct,18-24,Philippines,69.75,224,1.73,00:00:33,72,0,0,0.0,0.0,0.0,0.0,0.0
225,Social,55-64,Spain,69.75,216,1.67,00:00:43,36,0,0,0.0,0.0,0.0,0.0,0.0
226,Social,25-34,Kazakhstan,69.55,390,1.57,00:00:22,36,0,0,0.0,0.0,0.0,0.0,0.0
227,Social,18-24,Italy,69.47,1284,2.04,00:00:45,512,0,0,0.0,0.0,0.0,0.0,0.0
228,Social,45-54,Thailand,69.45,2647,1.47,00:00:26,411,0,0,0.0,0.0,0.0,0.0,0.0
229,Social,65+,Czechia,69.44,72,1.5,00:00:09,0,0,0,0.0,0.0,0.0,0.0,0.0
230,Social,25-34,Kenya,69.4,260,1.85,00:00:32,22,7,0,0.0,0.0,0.0,0.0,0.0
231,Social,65+,Thailand,69.39,1169,1.41,00:00:27,87,0,0,0.0,0.0,0.0,0.0,0.0
232,Organic Search,65+,United Kingdom,69.3,1075,2.23,00:00:52,224,22,7,0.6,34.57,84.63,592.43,592.43
233,Social,18-24,(not set),69.28,166,1.61,00:00:39,36,0,0,0.0,0.0,0.0,0.0,0.0
234,Social,25-34,Georgia,69.28,166,1.43,00:00:15,0,0,0,0.0,0.0,0.0,0.0,0.0
235,Social,35-44,Kazakhstan,69.28,166,1.39,00:01:09,14,0,0,0.0,0.0,0.0,0.0,0.0
236,Social,25-34,Peru,69.26,1883,1.68,00:00:29,909,7,0,0.0,0.0,0.0,0.0,0.0
237,Social,45-54,Mexico,69.17,1435,1.64,00:00:28,519,0,0,0.0,0.0,0.0,0.0,0.0
238,Affiliates,35-44,South Korea,69.15,72,2.22,00:00:55,29,7,0,0.0,0.0,0.0,0.0,0.0
239,Direct,45-54,Israel,69.15,87,2.77,00:02:13,29,0,0,0.0,0.0,0.0,0.0,0.0
240,Referral,25-34,Finland,69.15,79,2.61,00:02:32,50,0,0,0.0,0.0,0.0,0.0,0.0
241,Referral,55-64,Brazil,69.15,94,1.84,00:01:52,0,0,0,0.0,0.0,0.0,0.0,0.0
