,country,latitude,longitude,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand
31,Australia,-27.0,133.0,18/4/2020,6533,36,67,4,256.197,1.412,2.627,0.157,406510,14980,15.942,0.587
32,Australia,-27.0,133.0,19/4/2020,6586,53,69,2,258.276,2.078,2.706,0.078,420996,14486,16.51,0.568
33,Australia,-27.0,133.0,20/4/2020,6612,26,70,1,259.295,1.02,2.745,0.039,431734,10738,16.931,0.421
34,Australia,-27.0,133.0,21/4/2020,6625,13,71,1,259.805,0.51,2.784,0.039,439842,8108,17.249,0.318
35,Australia,-27.0,133.0,22/4/2020,6647,22,74,3,260.668,0.863,2.902,0.118,452441,12599,17.743,0.494
36,Australia,-27.0,133.0,23/4/2020,6654,7,74,0,260.942,0.275,2.902,0.0,466659,14218,18.3,0.558
37,Australia,-27.0,133.0,24/4/2020,6667,13,75,1,261.452,0.51,2.941,0.039,482370,15711,18.917,0.616
38,Australia,-27.0,133.0,25/4/2020,6687,20,79,4,262.237,0.784,3.098,0.157,494257,11887,19.383,0.466
39,Australia,-27.0,133.0,26/4/2020,6703,16,81,2,262.864,0.627,3.176,0.078,506449,12192,19.861,0.478
40,Australia,-27.0,133.0,27/4/2020,6713,10,83,2,263.256,0.392,3.255,0.078,517063,10614,20.277,0.416
41,Australia,-27.0,133.0,28/4/2020,6725,12,84,1,263.727,0.471,3.294,0.039,530679,13616,20.811,0.534
42,Australia,-27.0,133.0,29/4/2020,6738,13,88,4,264.237,0.51,3.451,0.157,544410,13731,21.35,0.538
43,Australia,-27.0,133.0,30/4/2020,6746,8,90,2,264.55,0.314,3.529,0.078,563641,19231,22.104,0.754
44,Austria,47.3333,13.3333,26/2/2020,2,2,0,0,0.222,0.222,0.0,0.0,321,103,0.036,0.011
45,Austria,47.3333,13.3333,27/2/2020,2,0,0,0,0.222,0.0,0.0,0.0,447,126,0.05,0.014
46,Austria,47.3333,13.3333,28/2/2020,5,3,0,0,0.555,0.333,0.0,0.0,763,316,0.085,0.035
47,Austria,47.3333,13.3333,29/2/2020,7,2,0,0,0.777,0.222,0.0,0.0,1649,886,0.183,0.098
48,Austria,47.3333,13.3333,4/3/2020,24,6,0,0,2.665,0.666,0.0,0.0,3138,455,0.348,0.051
49,Austria,47.3333,13.3333,5/3/2020,29,5,0,0,3.22,0.555,0.0,0.0,3711,573,0.412,0.064
50,Austria,47.3333,13.3333,6/3/2020,41,12,0,0,4.552,1.332,0.0,0.0,4000,289,0.444,0.032
51,Austria,47.3333,13.3333,7/3/2020,74,33,0,0,8.216,3.664,0.0,0.0,4308,308,0.478,0.034
52,Austria,47.3333,13.3333,8/3/2020,99,25,0,0,10.992,2.776,0.0,0.0,4509,201,0.501,0.022
53,Austria,47.3333,13.3333,9/3/2020,102,3,0,0,11.325,0.333,0.0,0.0,4734,225,0.526,0.025
54,Austria,47.3333,13.3333,10/3/2020,131,29,0,0,14.545,3.22,0.0,0.0,5026,292,0.558,0.032
55,Austria,47.3333,13.3333,11/3/2020,182,51,0,0,20.208,5.663,0.0,0.0,5362,336,0.595,0.037
56,Austria,47.3333,13.3333,12/3/2020,246,64,0,0,27.314,7.106,0.0,0.0,5869,507,0.652,0.056
57,Austria,47.3333,13.3333,13/3/2020,361,115,1,1,40.083,12.769,0.111,0.111,6582,713,0.731,0.079
58,Austria,47.3333,13.3333,14/3/2020,504,143,1,0,55.96,15.878,0.111,0.0,7467,885,0.829,0.098
59,Austria,47.3333,13.3333,15/3/2020,655,151,1,0,72.726,16.766,0.111,0.0,8167,700,0.907,0.078
60,Austria,47.3333,13.3333,16/3/2020,860,205,1,0,95.488,22.762,0.111,0.0,8490,323,0.943,0.036
61,Austria,47.3333,13.3333,17/3/2020,1016,156,3,2,112.809,17.321,0.333,0.222,10278,1788,1.141,0.199
62,Austria,47.3333,13.3333,18/3/2020,1332,316,3,0,147.895,35.086,0.333,0.0,11977,1699,1.33,0.189
63,Austria,47.3333,13.3333,19/3/2020,1646,314,4,1,182.759,34.864,0.444,0.111,13724,1747,1.524,0.194
64,Austria,47.3333,13.3333,20/3/2020,2196,550,6,2,243.827,61.068,0.666,0.222,15613,1889,1.734,0.21
65,Austria,47.3333,13.3333,21/3/2020,2649,453,6,0,294.124,50.298,0.666,0.0,18545,2932,2.059,0.326
66,Austria,47.3333,13.3333,22/3/2020,3024,375,8,2,335.761,41.637,0.888,0.222,21368,2823,2.373,0.313
67,Austria,47.3333,13.3333,23/3/2020,3631,607,16,8,403.158,67.397,1.777,0.888,23429,2061,2.601,0.229
68,Austria,47.3333,13.3333,24/3/2020,4486,855,25,9,498.09,94.932,2.776,0.999,28391,4962,3.152,0.551
69,Austria,47.3333,13.3333,25/3/2020,5282,796,30,5,586.472,88.382,3.331,0.555,32407,4016,3.598,0.446
70,Austria,47.3333,13.3333,26/3/2020,5888,606,34,4,653.757,67.285,3.775,0.444,35995,3588,3.997,0.398
71,Austria,47.3333,13.3333,27/3/2020,7029,1141,52,18,780.445,126.688,5.774,1.999,39552,3557,4.392,0.395
72,Austria,47.3333,13.3333,28/3/2020,7697,668,68,16,854.614,74.169,7.55,1.777,42750,3198,4.747,0.355
73,Austria,47.3333,13.3333,29/3/2020,8291,594,68,0,920.568,65.953,7.55,0.0,46441,3691,5.156,0.41
74,Austria,47.3333,13.3333,30/3/2020,8813,522,86,18,978.526,57.959,9.549,1.999,49455,3014,5.491,0.335
75,Austria,47.3333,13.3333,31/3/2020,9618,805,108,22,1067.907,89.381,11.991,2.443,52344,2889,5.812,0.321
76,Austria,47.3333,13.3333,1/4/2020,10182,564,128,20,1130.529,62.622,14.212,2.221,55863,3519,6.203,0.391
77,Austria,47.3333,13.3333,2/4/2020,10711,529,146,18,1189.265,58.736,16.211,1.999,92190,36327,10.236,4.033
78,Austria,47.3333,13.3333,3/4/2020,11129,418,158,12,1235.677,46.411,17.543,1.332,98343,6153,10.919,0.683
79,Austria,47.3333,13.3333,4/4/2020,11525,396,168,10,1279.646,43.969,18.653,1.11,104134,5791,11.562,0.643
80,Austria,47.3333,13.3333,5/4/2020,11766,241,186,18,1306.404,26.759,20.652,1.999,108416,4282,12.038,0.475
81,Austria,47.3333,13.3333,6/4/2020,11983,217,204,18,1330.498,24.094,22.651,1.999,111296,2880,12.357,0.32
82,Austria,47.3333,13.3333,7/4/2020,12297,314,220,16,1365.362,34.864,24.427,1.777,115235,3939,12.795,0.437
83,Austria,47.3333,13.3333,8/4/2020,12640,343,243,23,1403.446,38.084,26.981,2.554,120755,5520,13.408,0.613
84,Austria,47.3333,13.3333,9/4/2020,12969,329,273,30,1439.976,36.53,30.312,3.331,126287,5532,14.022,0.614
85,Austria,47.3333,13.3333,10/4/2020,13248,279,295,22,1470.954,30.978,32.754,2.443,134743,8456,14.961,0.939
86,Austria,47.3333,13.3333,11/4/2020,13560,312,319,24,1505.596,34.642,35.419,2.665,140975,6232,15.653,0.692
87,Austria,47.3333,13.3333,12/4/2020,13807,247,337,18,1533.021,27.425,37.418,1.999,144877,3902,16.086,0.433
88,Austria,47.3333,13.3333,13/4/2020,13937,130,350,13,1547.455,14.434,38.861,1.443,148412,3535,16.479,0.392
89,Austria,47.3333,13.3333,14/4/2020,14043,106,368,18,1559.225,11.769,40.86,1.999,151796,3384,16.854,0.376
90,Austria,47.3333,13.3333,15/4/2020,14234,191,384,16,1580.432,21.207,42.636,1.777,156801,5005,17.41,0.556
91,Austria,47.3333,13.3333,16/4/2020,14370,136,393,9,1595.532,15.1,43.636,0.999,162816,6015,18.078,0.668
92,Austria,47.3333,13.3333,17/4/2020,14448,78,410,17,1604.193,8.661,45.523,1.888,169272,6456,18.795,0.717
93,Austria,47.3333,13.3333,18/4/2020,14603,155,431,21,1621.403,17.21,47.855,2.332,175932,6660,19.534,0.739
94,Austria,47.3333,13.3333,19/4/2020,14662,59,443,12,1627.953,6.551,49.187,1.332,179243,3311,19.902,0.368
95,Austria,47.3333,13.3333,20/4/2020,14710,48,452,9,1633.283,5.33,50.187,0.999,182949,3706,20.313,0.411
96,Austria,47.3333,13.3333,21/4/2020,14783,73,462,10,1641.388,8.105,51.297,1.11,189018,6069,20.987,0.674
97,Austria,47.3333,13.3333,22/4/2020,14833,50,463,1,1646.94,5.552,51.408,0.111,201794,12776,22.406,1.419
98,Austria,47.3333,13.3333,23/4/2020,14924,91,494,31,1657.044,10.104,54.85,3.442,205835,4041,22.854,0.449
99,Austria,47.3333,13.3333,24/4/2020,14985,61,508,14,1663.817,6.773,56.404,1.554,212686,6851,23.615,0.761
100,Austria,47.3333,13.3333,25/4/2020,15068,83,513,5,1673.033,9.216,56.959,0.555,221089,8403,24.548,0.933
101,Austria,47.3333,13.3333,26/4/2020,15134,66,536,23,1680.361,7.328,59.513,2.554,227631,6542,25.274,0.726
102,Austria,47.3333,13.3333,27/4/2020,15189,55,542,6,1686.467,6.107,60.179,0.666,232537,4906,25.819,0.545
103,Austria,47.3333,13.3333,28/4/2020,15256,67,549,7,1693.907,7.439,60.957,0.777,239578,7041,26.601,0.782
104,Austria,47.3333,13.3333,29/4/2020,15314,58,569,20,1700.346,6.44,63.177,2.221,247754,8176,27.509,0.908
105,Austria,47.3333,13.3333,30/4/2020,15364,50,580,11,1705.898,5.552,64.399,1.221,256399,8645,28.469,0.96
106,Belgium,50.8333,4.0,1/3/2020,1,0,0,0,0.086,0.0,0.0,0.0,56,56,0.005,0.005
107,Belgium,50.8333,4.0,2/3/2020,2,1,0,0,0.173,0.086,0.0,0.0,334,278,0.029,0.024
108,Belgium,50.8333,4.0,3/3/2020,8,6,0,0,0.69,0.518,0.0,0.0,818,484,0.071,0.042
109,Belgium,50.8333,4.0,4/3/2020,13,5,0,0,1.122,0.431,0.0,0.0,1473,655,0.127,0.057
110,Belgium,50.8333,4.0,5/3/2020,23,10,0,0,1.985,0.863,0.0,0.0,2185,712,0.189,0.061
111,Belgium,50.8333,4.0,6/3/2020,50,27,0,0,4.314,2.33,0.0,0.0,3218,1033,0.278,0.089
112,Belgium,50.8333,4.0,7/3/2020,109,59,0,0,9.405,5.091,0.0,0.0,3633,415,0.313,0.036
113,Belgium,50.8333,4.0,8/3/2020,169,60,0,0,14.582,5.177,0.0,0.0,4053,420,0.35,0.036
114,Belgium,50.8333,4.0,9/3/2020,200,31,0,0,17.257,2.675,0.0,0.0,4590,537,0.396,0.046
115,Belgium,50.8333,4.0,10/3/2020,239,39,0,0,20.622,3.365,0.0,0.0,5313,723,0.458,0.062
116,Belgium,50.8333,4.0,11/3/2020,267,28,0,0,23.038,2.416,0.0,0.0,6290,977,0.543,0.084
117,Belgium,50.8333,4.0,12/3/2020,314,47,3,3,27.093,4.055,0.259,0.259,7653,1363,0.66,0.118
118,Belgium,50.8333,4.0,13/3/2020,399,85,3,0,34.427,7.334,0.259,0.0,9998,2345,0.863,0.202
119,Belgium,50.8333,4.0,14/3/2020,559,160,3,0,48.233,13.805,0.259,0.0,11953,1955,1.031,0.169
120,Belgium,50.8333,4.0,15/3/2020,689,130,4,1,59.45,11.217,0.345,0.086,13112,1159,1.131,0.1
121,Belgium,50.8333,4.0,16/3/2020,886,197,4,0,76.448,16.998,0.345,0.0,14730,1618,1.271,0.14
122,Belgium,50.8333,4.0,17/3/2020,1085,199,5,1,93.618,17.171,0.431,0.086,16644,1914,1.436,0.165
123,Belgium,50.8333,4.0,18/3/2020,1243,158,5,0,107.251,13.633,0.431,0.0,18982,2338,1.638,0.202
124,Belgium,50.8333,4.0,19/3/2020,1486,243,14,9,128.218,20.967,1.208,0.777,21790,2808,1.88,0.242
125,Belgium,50.8333,4.0,20/3/2020,1795,309,21,7,154.88,26.662,1.812,0.604,24312,2522,2.098,0.218
126,Belgium,50.8333,4.0,21/3/2020,2257,462,37,16,194.743,39.863,3.193,1.381,26224,1912,2.263,0.165
127,Belgium,50.8333,4.0,22/3/2020,2815,558,67,30,242.89,48.147,5.781,2.589,27365,1141,2.361,0.098
128,Belgium,50.8333,4.0,23/3/2020,3401,586,75,8,293.452,50.563,6.471,0.69,29994,2629,2.588,0.227
129,Belgium,50.8333,4.0,24/3/2020,3743,342,88,13,322.962,29.509,7.593,1.122,33248,3254,2.869,0.281
130,Belgium,50.8333,4.0,25/3/2020,4269,526,122,34,368.347,45.385,10.527,2.934,36821,3573,3.177,0.308
131,Belgium,50.8333,4.0,26/3/2020,4937,668,178,56,425.985,57.638,15.359,4.832,40248,3427,3.473,0.296
132,Belgium,50.8333,4.0,27/3/2020,6235,1298,220,42,537.982,111.997,18.983,3.624,44284,4036,3.821,0.348
133,Belgium,50.8333,4.0,28/3/2020,7284,1049,289,69,628.494,90.512,24.936,5.954,47519,3235,4.1,0.279
134,Belgium,50.8333,4.0,29/3/2020,9134,1850,353,64,788.119,159.626,30.458,5.522,49476,1957,4.269,0.169
135,Belgium,50.8333,4.0,30/3/2020,10836,1702,431,78,934.975,146.856,37.188,6.73,52802,3326,4.556,0.287
136,Belgium,50.8333,4.0,31/3/2020,11899,1063,513,82,1026.695,91.72,44.264,7.075,58160,5358,5.018,0.462
137,Belgium,50.8333,4.0,1/4/2020,12775,876,705,192,1102.28,75.585,60.83,16.567,62938,4778,5.431,0.412
138,Belgium,50.8333,4.0,2/4/2020,13964,1189,828,123,1204.872,102.592,71.443,10.613,67776,4838,5.848,0.417
139,Belgium,50.8333,4.0,3/4/2020,15348,1384,1011,183,1324.289,119.417,87.233,15.79,72958,5182,6.295,0.447
140,Belgium,50.8333,4.0,4/4/2020,16770,1422,1143,132,1446.985,122.696,98.623,11.39,77268,4310,6.667,0.372
141,Belgium,50.8333,4.0,5/4/2020,18431,1661,1283,140,1590.303,143.318,110.703,12.08,79836,2568,6.889,0.222
142,Belgium,50.8333,4.0,6/4/2020,19691,1260,1447,164,1699.021,108.718,124.853,14.151,84166,4330,7.262,0.374
143,Belgium,50.8333,4.0,7/4/2020,20814,1123,1632,185,1795.918,96.897,140.816,15.963,90014,5848,7.767,0.505
144,Belgium,50.8333,4.0,8/4/2020,22194,1380,2035,403,1914.99,119.072,175.588,34.773,96160,6146,8.297,0.53
145,Belgium,50.8333,4.0,9/4/2020,23403,1209,2240,205,2019.308,104.318,193.276,17.688,102279,6119,8.825,0.528
146,Belgium,50.8333,4.0,10/4/2020,24983,1580,2523,283,2155.637,136.329,217.695,24.418,108720,6441,9.381,0.556
147,Belgium,50.8333,4.0,11/4/2020,26667,1684,3019,496,2300.939,145.302,260.492,42.797,115071,6351,9.929,0.548
148,Belgium,50.8333,4.0,12/4/2020,28018,1351,3346,327,2417.509,116.57,288.707,28.215,120384,5313,10.387,0.458
149,Belgium,50.8333,4.0,13/4/2020,29647,1629,3600,254,2558.066,140.557,310.623,21.916,125098,4714,10.794,0.407
150,Belgium,50.8333,4.0,14/4/2020,30589,942,3903,303,2639.345,81.28,336.767,26.144,130755,5657,11.282,0.488
151,Belgium,50.8333,4.0,15/4/2020,31119,530,4157,254,2685.076,45.731,358.683,21.916,138534,7779,11.953,0.671
152,Belgium,50.8333,4.0,16/4/2020,33573,2454,4440,283,2896.817,211.741,383.102,24.418,146157,7623,12.611,0.658
153,Belgium,50.8333,4.0,17/4/2020,34809,1236,4857,417,3003.464,106.647,419.082,35.98,153992,7835,13.287,0.676
154,Belgium,50.8333,4.0,18/4/2020,36138,1329,5163,306,3118.136,114.672,445.485,26.403,160926,6934,13.885,0.598
155,Belgium,50.8333,4.0,19/4/2020,37183,1045,5453,290,3208.303,90.167,470.507,25.022,165589,4663,14.288,0.402
156,Belgium,50.8333,4.0,20/4/2020,38496,1313,5683,230,3321.594,113.291,490.353,19.845,172657,7068,14.898,0.61
157,Belgium,50.8333,4.0,21/4/2020,39983,1487,5828,145,3449.899,128.305,502.864,12.511,179908,7251,15.523,0.626
158,Belgium,50.8333,4.0,22/4/2020,40956,973,5998,170,3533.853,83.954,517.532,14.668,188883,8975,16.298,0.774
159,Belgium,50.8333,4.0,23/4/2020,41889,933,6262,264,3614.356,80.503,540.311,22.779,198180,9297,17.1,0.802
160,Belgium,50.8333,4.0,24/4/2020,42797,908,6490,228,3692.702,78.346,559.984,19.673,207637,9457,17.916,0.816
161,Belgium,50.8333,4.0,25/4/2020,44293,1496,6679,189,3821.783,129.081,576.292,16.308,215039,7402,18.554,0.639
162,Belgium,50.8333,4.0,26/4/2020,45325,1032,6917,238,3910.828,89.045,596.827,20.536,219775,4736,18.963,0.409
163,Belgium,50.8333,4.0,27/4/2020,46134,809,7094,177,3980.632,69.804,612.1,15.272,226355,6580,19.531,0.568
164,Belgium,50.8333,4.0,28/4/2020,46687,553,7207,113,4028.347,47.715,621.85,9.75,233081,6726,20.111,0.58
165,Bangladesh,24.0,90.0,9/3/2020,3,3,0,0,0.018,0.018,0.0,0.0,137,10,0.001,0.0
166,Bangladesh,24.0,90.0,15/3/2020,3,0,0,0,0.018,0.0,0.0,0.0,268,27,0.002,0.0
167,Bangladesh,24.0,90.0,17/3/2020,5,2,0,0,0.03,0.012,0.0,0.0,342,49,0.002,0.0
168,Bangladesh,24.0,90.0,18/3/2020,8,3,0,0,0.049,0.018,0.0,0.0,381,39,0.002,0.0
169,Bangladesh,24.0,90.0,19/3/2020,10,2,0,0,0.061,0.012,0.0,0.0,427,46,0.003,0.0
170,Bangladesh,24.0,90.0,20/3/2020,10,0,0,0,0.061,0.0,0.0,0.0,463,36,0.003,0.0
171,Bangladesh,24.0,90.0,21/3/2020,17,7,0,0,0.103,0.043,0.0,0.0,499,36,0.003,0.0
172,Bangladesh,24.0,90.0,22/3/2020,24,7,2,2,0.146,0.043,0.012,0.012,564,65,0.003,0.0
173,Bangladesh,24.0,90.0,23/3/2020,27,3,3,1,0.164,0.018,0.018,0.006,620,56,0.004,0.0
174,Bangladesh,24.0,90.0,24/3/2020,33,6,3,0,0.2,0.036,0.018,0.0,712,92,0.004,0.001
175,Bangladesh,24.0,90.0,25/3/2020,39,6,4,1,0.237,0.036,0.024,0.006,794,82,0.005,0.0
176,Bangladesh,24.0,90.0,26/3/2020,39,0,5,1,0.237,0.0,0.03,0.006,920,126,0.006,0.001
177,Bangladesh,24.0,90.0,27/3/2020,48,9,5,0,0.291,0.055,0.03,0.0,1026,106,0.006,0.001
178,Bangladesh,24.0,90.0,28/3/2020,48,0,5,0,0.291,0.0,0.03,0.0,1076,50,0.007,0.0
179,Bangladesh,24.0,90.0,29/3/2020,48,0,5,0,0.291,0.0,0.03,0.0,1185,109,0.007,0.001
180,Bangladesh,24.0,90.0,30/3/2020,49,1,5,0,0.298,0.006,0.03,0.0,1338,153,0.008,0.001
181,Bangladesh,24.0,90.0,31/3/2020,49,0,5,0,0.298,0.0,0.03,0.0,1602,264,0.01,0.002
182,Bangladesh,24.0,90.0,1/4/2020,51,2,5,0,0.31,0.012,0.03,0.0,1759,157,0.011,0.001
183,Bangladesh,24.0,90.0,2/4/2020,54,3,6,1,0.328,0.018,0.036,0.006,1906,147,0.012,0.001
184,Bangladesh,24.0,90.0,3/4/2020,56,2,6,0,0.34,0.012,0.036,0.0,2113,207,0.013,0.001
185,Bangladesh,24.0,90.0,4/4/2020,61,5,6,0,0.37,0.03,0.036,0.0,2547,434,0.015,0.003
186,Bangladesh,24.0,90.0,5/4/2020,70,9,8,2,0.425,0.055,0.049,0.012,2914,367,0.018,0.002
187,Bangladesh,24.0,90.0,6/4/2020,88,18,9,1,0.534,0.109,0.055,0.006,3610,696,0.022,0.004
188,Bangladesh,24.0,90.0,7/4/2020,123,35,12,3,0.747,0.213,0.073,0.018,4402,792,0.027,0.005
189,Bangladesh,24.0,90.0,8/4/2020,164,41,17,5,0.996,0.249,0.103,0.03,5383,981,0.033,0.006
190,Bangladesh,24.0,90.0,9/4/2020,218,54,20,3,1.324,0.328,0.121,0.018,6480,1097,0.039,0.007
191,Bangladesh,24.0,90.0,10/4/2020,330,112,21,1,2.004,0.68,0.128,0.006,7664,1184,0.047,0.007
192,Bangladesh,24.0,90.0,11/4/2020,424,94,27,6,2.575,0.571,0.164,0.036,8313,649,0.05,0.004
193,Bangladesh,24.0,90.0,12/4/2020,482,58,30,3,2.927,0.352,0.182,0.018,9653,1340,0.059,0.008
194,Bangladesh,24.0,90.0,13/4/2020,621,139,34,4,3.771,0.844,0.206,0.024,11223,1570,0.068,0.01
195,Bangladesh,24.0,90.0,14/4/2020,803,182,39,5,4.876,1.105,0.237,0.03,13128,1905,0.08,0.012
196,Bangladesh,24.0,90.0,15/4/2020,1012,209,46,7,6.145,1.269,0.279,0.043,14868,1740,0.09,0.011
197,Bangladesh,24.0,90.0,16/4/2020,1231,219,50,4,7.475,1.33,0.304,0.024,17003,2135,0.103,0.013
198,Bangladesh,24.0,90.0,17/4/2020,1572,341,60,10,9.545,2.071,0.364,0.061,19193,2190,0.117,0.013
199,Bangladesh,24.0,90.0,18/4/2020,1838,266,75,15,11.16,1.615,0.455,0.091,21307,2114,0.129,0.013
200,Bangladesh,24.0,90.0,19/4/2020,2144,306,84,9,13.018,1.858,0.51,0.055,23941,2634,0.145,0.016
201,Bangladesh,24.0,90.0,20/4/2020,2456,312,91,7,14.913,1.894,0.553,0.043,26604,2663,0.162,0.016
202,Bangladesh,24.0,90.0,21/4/2020,2948,492,101,10,17.9,2.987,0.613,0.061,29578,2974,0.18,0.018
203,Bangladesh,24.0,90.0,22/4/2020,3382,434,110,9,20.536,2.635,0.668,0.055,32674,3096,0.198,0.019
204,Bangladesh,24.0,90.0,23/4/2020,3772,390,120,10,22.904,2.368,0.729,0.061,36090,3416,0.219,0.021
205,Bangladesh,24.0,90.0,24/4/2020,4186,414,127,7,25.418,2.514,0.771,0.043,39776,3686,0.242,0.022
206,Bangladesh,24.0,90.0,25/4/2020,4689,503,131,4,28.472,3.054,0.795,0.024,43012,3236,0.261,0.02
207,Bangladesh,24.0,90.0,26/4/2020,4998,309,140,9,30.348,1.876,0.85,0.055,46485,3473,0.282,0.021
208,Bangladesh,24.0,90.0,27/4/2020,5416,418,145,5,32.886,2.538,0.88,0.03,50297,3812,0.305,0.023
209,Bangladesh,24.0,90.0,28/4/2020,5913,497,152,7,35.904,3.018,0.923,0.043,54733,4436,0.332,0.027
210,Bangladesh,24.0,90.0,29/4/2020,6462,549,155,3,39.238,3.334,0.941,0.018,59701,4968,0.363,0.03
211,Bangladesh,24.0,90.0,30/4/2020,7103,641,163,8,43.13,3.892,0.99,0.049,64666,4965,0.393,0.03
212,Bahrain,26.0,50.55,10/3/2020,109,30,0,0,64.058,17.631,0.0,0.0,8354,524,4.91,0.308
213,Bahrain,26.0,50.55,11/3/2020,110,1,0,0,64.646,0.588,0.0,0.0,8810,456,5.178,0.268
214,Bahrain,26.0,50.55,12/3/2020,162,52,0,0,95.205,30.56,0.0,0.0,9042,232,5.314,0.136
215,Bahrain,26.0,50.55,17/3/2020,221,7,1,1,129.879,4.114,0.588,0.588,13553,1422,7.965,0.836
216,Bahrain,26.0,50.55,30/3/2020,500,27,4,0,293.844,15.868,2.351,0.0,32596,701,19.156,0.412
217,Bahrain,26.0,50.55,4/4/2020,643,0,4,0,377.883,0.0,2.351,0.0,39256,1260,23.07,0.74
218,Bahrain,26.0,50.55,5/4/2020,688,45,4,0,404.329,26.446,2.351,0.0,44386,5130,26.085,3.015
219,Bahrain,26.0,50.55,6/4/2020,700,12,4,0,411.382,7.052,2.351,0.0,47684,3298,28.023,1.938
220,Bahrain,26.0,50.55,7/4/2020,756,56,4,0,444.292,32.911,2.351,0.0,50127,2443,29.459,1.436
221,Bahrain,26.0,50.55,8/4/2020,811,55,5,1,476.615,32.323,2.938,0.588,52804,2677,31.032,1.573
