geo_name|internal_point_lat|internal_point_lon
Yukon-Koyukuk Census Area|65.3761313|-151.5768554
Apache County|35.3858453|-109.4937467
Cochise County|31.8817928|-109.7541201
Coconino County|35.8296919|-111.7737277
Gila County|33.7896177|-110.8118696
Graham County|32.9318277|-109.8783103
Greenlee County|33.2388723|-109.2423231
La Paz County|33.7276249|-114.0387933
Maricopa County|33.3465408|-112.4955335
Mohave County|35.7177050|-113.7496891
Navajo County|35.3909336|-110.3209076
Pima County|32.1282374|-111.7830177
Pinal County|32.9189100|-111.3672569
Santa Cruz County|31.5259036|-110.8451898
Yavapai County|34.6300439|-112.5737449
Yuma County|32.7739424|-113.9109050
Arkansas County|34.2895735|-91.3765467
Ashley County|33.1908354|-91.7722672
Baxter County|36.2807100|-92.3304383
Benton County|36.3378246|-94.2561871
Boone County|36.3043077|-93.0792041
Bradley County|33.4638194|-92.1681641
Calhoun County|33.5604604|-92.5138790
Carroll County|36.3377742|-93.5416633
Chicot County|33.2671393|-91.2971578
Clark County|34.0533118|-93.1762051
Clay County|36.3673021|-90.4187041
Cleburne County|35.5662882|-92.0599743
Cleveland County|33.8932006|-92.1887141
Columbia County|33.2150704|-93.2269012
Conway County|35.2657024|-92.6892483
Craighead County|35.8282682|-90.6304114
Crawford County|35.5830407|-94.2362241
Crittenden County|35.2118784|-90.3153314
Cross County|35.2912586|-90.7738942
Dallas County|33.9678233|-92.6539989
Drew County|33.5872418|-91.7227781
Faulkner County|35.1463563|-92.3246543
Franklin County|35.5085730|-93.8876719
Fulton County|36.3834433|-91.8192392
Garland County|34.5788613|-93.1469148
Grant County|34.2880633|-92.4239843
Greene County|36.1199223|-90.5652409
Hempstead County|33.7286109|-93.6658093
Hot Spring County|34.3151767|-92.9441474
Howard County|34.0831786|-93.9909884
Independence County|35.7374992|-91.5599423
Izard County|36.0948792|-91.9136252
Jackson County|35.5966053|-91.2231780
Jefferson County|34.2776955|-91.9307012
Johnson County|35.5733586|-93.4663223
Lafayette County|33.2406596|-93.6116427
Lawrence County|36.0410983|-91.1011529
Lee County|34.7797500|-90.7792884
Lincoln County|33.9576649|-91.7276236
Little River County|33.6994970|-94.2297740
Logan County|35.2185495|-93.7205628
Lonoke County|34.7551137|-91.8941320
Madison County|36.0125452|-93.7240531
Marion County|36.2666562|-92.6785880
Miller County|33.3055048|-93.9015091
Mississippi County|35.7669426|-90.0522086
Monroe County|34.6795127|-91.2033140
Montgomery County|34.5456518|-93.6641468
Nevada County|33.6666991|-93.3050716
Newton County|35.9100625|-93.2150843
Ouachita County|33.5911582|-92.8784177
Perry County|34.9463629|-92.9268772
Phillips County|34.4258423|-90.8483856
Pike County|34.1581907|-93.6586589
Poinsett County|35.5689809|-90.6805953
Polk County|34.4909149|-94.2308841
Pope County|35.4552965|-93.0315353
Prairie County|34.8282250|-91.5571995
Pulaski County|34.7739877|-92.3165149
Randolph County|36.3412985|-91.0284409
St. Francis County|35.0144383|-90.7421993
Saline County|34.6485246|-92.6744630
Scott County|34.8588693|-94.0636413
Searcy County|35.9096596|-92.6993507
Sebastian County|35.1969808|-94.2749890
Sevier County|33.9946083|-94.2432898
Sharp County|36.1733989|-91.4710689
Stone County|35.8569888|-92.1404941
Union County|33.1682186|-92.5981447
Van Buren County|35.5829588|-92.5159772
Washington County|35.9712088|-94.2184168
White County|35.2547221|-91.7531583
Woodruff County|35.1890710|-91.2444178
Yell County|34.9977133|-93.4083032
Alameda County|37.6480811|-121.9133039
Alpine County|38.6176096|-119.7989986
Amador County|38.4435501|-120.6538563
Butte County|39.6659588|-121.6019188
Calaveras County|38.1878437|-120.5551154
Colusa County|39.1777385|-122.2375629
Contra Costa County|37.9194790|-121.9515431
Del Norte County|41.7499033|-123.9809983
El Dorado County|38.7855320|-120.5343981
Fresno County|36.7610058|-119.6550193
Glenn County|39.6025462|-122.4016998
Humboldt County|40.7066731|-123.9258181
Imperial County|33.0408155|-115.3553946
Inyo County|36.5619770|-117.4039269
Kern County|35.3466288|-118.7295064
Kings County|36.0724780|-119.8155301
Lake County|39.0948019|-122.7467569
Lassen County|40.7210889|-120.6299314
Los Angeles County|34.1963983|-118.2618616
Madera County|37.2100387|-119.7498519
Marin County|38.0518169|-122.7459738
Mariposa County|37.5700335|-119.9128599
Mendocino County|39.4323876|-123.4428811
Merced County|37.1948063|-120.7228019
Modoc County|41.5929185|-120.7183704
Mono County|37.9158363|-118.8751668
Monterey County|36.2401070|-121.3155732
Napa County|38.5073511|-122.3259947
Nevada County|39.2951907|-120.7734456
Orange County|33.6756872|-117.7772068
Placer County|39.0620324|-120.7227181
Plumas County|39.9951699|-120.8295155
Riverside County|33.7298275|-116.0022389
Sacramento County|38.4500114|-121.3404409
San Benito County|36.6107024|-121.0852960
San Bernardino County|34.8572198|-116.1811967
San Diego County|33.0236041|-116.7761174
San Francisco County|37.7272391|-123.0322294
San Joaquin County|37.9350336|-121.2722369
San Luis Obispo County|35.3852268|-120.4475404
San Mateo County|37.4146639|-122.3715417
Santa Barbara County|34.5373784|-120.0384850
Santa Clara County|37.2207774|-121.6906224
Santa Cruz County|37.0124883|-122.0072050
Shasta County|40.7605215|-122.0435495
Sierra County|39.5769252|-120.5219926
Siskiyou County|41.5879861|-122.5332868
Solano County|38.2672255|-121.9395940
Sonoma County|38.5325740|-122.9451943
Stanislaus County|37.5623842|-121.0026557
Sutter County|39.0352571|-121.7027576
Tehama County|40.1261561|-122.2322757
Trinity County|40.6477241|-123.1144043
Tulare County|36.2304529|-118.7805422
Tuolumne County|38.0214510|-119.9647084
Ventura County|34.3587415|-119.1331432
Yolo County|38.6792682|-121.9031776
Yuba County|39.2700256|-121.3442802
Adams County|39.8743252|-104.3318718
Alamosa County|37.5684423|-105.7880414
Arapahoe County|39.6446318|-104.3317329
Archuleta County|37.2023952|-107.0508634
Baca County|37.3031437|-102.5354566
Bent County|37.9318907|-103.0775841
Boulder County|40.0948262|-105.3983824
Broomfield County|39.9533825|-105.0521250
Chaffee County|38.7382457|-106.3169723
Cheyenne County|38.8353865|-102.6045852
Clear Creek County|39.6894025|-105.6707908
Conejos County|37.2134065|-106.1764473
Costilla County|37.2775474|-105.4289399
Crowley County|38.3219558|-103.7875617
Custer County|38.1019939|-105.3735148
Delta County|38.8617559|-107.8647570
Denver County|39.7618487|-104.8806251
Dolores County|37.7476020|-108.5303829
Douglas County|39.3264348|-104.9261993
Eagle County|39.6306381|-106.6929439
Elbert County|39.3108167|-104.1179275
El Paso County|38.8273831|-104.5274718
Fremont County|38.4556576|-105.4214383
Garfield County|39.5993517|-107.9097801
Gilpin County|39.8610823|-105.5289473
Grand County|40.1232891|-106.0958757
Gunnison County|38.6696792|-107.0781080
Hinsdale County|37.8116248|-107.3834054
Huerfano County|37.6878154|-104.9599278
Jackson County|40.6634319|-106.3292476
Jefferson County|39.5864595|-105.2456005
Kiowa County|38.3884664|-102.7562096
Kit Carson County|39.3053399|-102.6030226
Lake County|39.2043161|-106.3496959
La Plata County|37.2873673|-107.8397178
Larimer County|40.6630912|-105.4821309
Las Animas County|37.3188308|-104.0441103
Lincoln County|38.9937401|-103.5075545
Logan County|40.7280911|-103.0904639
Mesa County|39.0194924|-108.4618366
Mineral County|37.6514782|-106.9322997
Moffat County|40.5739839|-108.2045214
Montezuma County|37.3380246|-108.5957863
Montrose County|38.4134267|-108.2630424
Morgan County|40.2623535|-103.8070921
Otero County|37.8841698|-103.7212597
Ouray County|38.1505999|-107.7671334
Park County|39.1189141|-105.7176479
Phillips County|40.5947117|-102.3451047
Pitkin County|39.2175333|-106.9159433
Prowers County|37.9581814|-102.3921613
Pueblo County|38.1706581|-104.4898925
Rio Blanco County|39.9726062|-108.2006849
Rio Grande County|37.4857631|-106.4532135
Routt County|40.4831597|-106.9852885
Saguache County|38.0339518|-106.2466749
San Juan County|37.7810745|-107.6702566
San Miguel County|38.0093735|-108.4273260
Sedgwick County|40.8715679|-102.3553579
Summit County|39.6210227|-106.1375545
Teller County|38.8719937|-105.1825519
Washington County|39.9654130|-103.2096046
Weld County|40.5557944|-104.3836487
Yuma County|40.0006314|-102.4226490
Fairfield County|41.2281028|-73.3667574
Hartford County|41.8060534|-72.7329157
Litchfield County|41.7918967|-73.2354279
Middlesex County|41.4345251|-72.5242267
New Haven County|41.3497173|-72.9002037
New London County|41.4786303|-72.1034515
Tolland County|41.8580762|-72.3409774
Windham County|41.8249987|-71.9907017
Kent County|39.0970884|-75.5029819
New Castle County|39.5759152|-75.6441324
Sussex County|38.6775108|-75.3354950
District of Columbia|38.9041485|-77.0170942
Alachua County|29.6757403|-82.3572210
Baker County|30.3244416|-82.3022838
Bay County|30.2375633|-85.6313477
Bradford County|29.9469338|-82.1667955
Brevard County|28.2982755|-80.7003842
Broward County|26.1935200|-80.4766578
Calhoun County|30.3888013|-85.1979155
Charlotte County|26.8688259|-81.9408583
Citrus County|28.8436275|-82.5247964
Clay County|29.9871155|-81.8581472
Collier County|26.1187125|-81.4008838
Columbia County|30.2213046|-82.6231271
DeSoto County|27.1905809|-81.8062531
Dixie County|29.5808994|-83.1956656
Duval County|30.3352449|-81.6481132
Escambia County|30.6116644|-87.3390400
Flagler County|29.4748942|-81.2863619
Franklin County|29.8101756|-84.7991735
Gadsden County|30.5791695|-84.6127832
Gilchrist County|29.7234556|-82.7958011
Glades County|26.9548102|-81.1908197
Gulf County|29.9072571|-85.2565366
Hamilton County|30.4911024|-82.9510488
Hardee County|27.4928458|-81.8215798
Hendry County|26.5393400|-81.1515844
Hernando County|28.5679113|-82.4648352
Highlands County|27.3426272|-81.3409213
Hillsborough County|27.9065898|-82.3495681
Holmes County|30.8662220|-85.8129589
Indian River County|27.7006382|-80.5748033
Jackson County|30.7878120|-85.2103738
Jefferson County|30.4245579|-83.8908594
Lafayette County|29.9900661|-83.1785097
Lake County|28.7641128|-81.7122822
Lee County|26.5521343|-81.8922499
Leon County|30.4593104|-84.2778004
Levy County|29.2844092|-82.7834825
Liberty County|30.2598494|-84.8685805
Madison County|30.4472282|-83.4704367
Manatee County|27.4813860|-82.3657835
Marion County|29.2028047|-82.0431004
Martin County|27.0799538|-80.3982112
Miami-Dade County|25.6104937|-80.4990449
Monroe County|25.6010428|-81.2067767
Nassau County|30.6059257|-81.7649287
Okaloosa County|30.6658583|-86.5941941
Okeechobee County|27.3855924|-80.8873884
Orange County|28.5144350|-81.3232950
Osceola County|28.0590267|-81.1393116
Palm Beach County|26.6457628|-80.4486728
Pasco County|28.3020241|-82.4557068
Pinellas County|27.9031220|-82.7395180
Polk County|27.9531147|-81.6927831
Putnam County|29.6060059|-81.7408939
St. Johns County|29.8905926|-81.3839139
St. Lucie County|27.3807748|-80.4433638
Santa Rosa County|30.7036328|-87.0142549
Sarasota County|27.1843855|-82.3658351
Seminole County|28.6900793|-81.1319797
Sumter County|28.7142938|-82.0747152
Suwannee County|30.1892438|-82.9927542
Taylor County|30.0169434|-83.6164167
Union County|30.0542796|-82.3669180
Volusia County|29.0576172|-81.1618129
Wakulla County|30.1403780|-84.3751361
Walton County|30.6312106|-86.1766139
Washington County|30.6022166|-85.6627968
Appling County|31.7397120|-82.2901025
Atkinson County|31.3005623|-82.8836144
Bacon County|31.5633274|-82.3878591
Baker County|31.3196219|-84.4548570
Baldwin County|33.0595321|-83.2553624
Banks County|34.3519216|-83.4984409
Barrow County|33.9920094|-83.7123025
Bartow County|34.2409175|-84.8381879
Ben Hill County|31.7407755|-83.1471898
Berrien County|31.2743080|-83.2319058
Bibb County|32.8088443|-83.6941934
Bleckley County|32.4354034|-83.3317174
Brantley County|31.1973339|-81.9829779
Brooks County|30.8336956|-83.5889713
Bryan County|32.0179692|-81.4385431
Bulloch County|32.3934083|-81.7438099
Burke County|33.0637365|-82.0038904
Butts County|33.2903551|-83.9582206
Calhoun County|31.5212790|-84.6262895
Camden County|30.9163582|-81.6365160
Candler County|32.4039862|-82.0714459
Carroll County|33.5822366|-85.0805272
Catoosa County|34.8993926|-85.1373531
Charlton County|30.7799036|-82.1396442
Chatham County|31.9747555|-81.0917682
Chattahoochee County|32.3474454|-84.7880206
Chattooga County|34.4741785|-85.3452894
Cherokee County|34.2443166|-84.4750574
Clarke County|33.9522337|-83.3671299
Clay County|31.6198309|-84.9925826
Clayton County|33.5522424|-84.4129771
Clinch County|30.9176531|-82.7026143
Cobb County|33.9399400|-84.5741657
Coffee County|31.5492446|-82.8449382
Colquitt County|31.1897575|-83.7697405
Columbia County|33.5505555|-82.2513423
Cook County|31.1529350|-83.4295515
Coweta County|33.3528965|-84.7621381
Crawford County|32.7094463|-83.9791817
Crisp County|31.9147533|-83.7533380
Dade County|34.8524237|-85.5062006
Dawson County|34.4428421|-84.1732841
Decatur County|30.8779607|-84.5777442
DeKalb County|33.7706611|-84.2263431
Dodge County|32.1606555|-83.1568180
Dooly County|32.1519954|-83.8071670
Dougherty County|31.5350683|-84.2144444
Douglas County|33.6993166|-84.7659441
Early County|31.3241906|-84.9067225
Echols County|30.7085000|-82.8361320
Effingham County|32.3617106|-81.3433367
Elbert County|34.1150165|-82.8420572
Emanuel County|32.5910995|-82.2997628
Evans County|32.1519021|-81.8876180
Fannin County|34.8638367|-84.3192867
Fayette County|33.4127172|-84.4939407
Floyd County|34.2636769|-85.2137297
Forsyth County|34.2251430|-84.1273355
Franklin County|34.3751554|-83.2272905
Fulton County|33.7900338|-84.4681816
Gilmer County|34.6905413|-84.4539838
Glascock County|33.2274908|-82.6069126
Glynn County|31.2127465|-81.4965167
Gordon County|34.5096669|-84.8738622
Grady County|30.8758626|-84.2447719
Greene County|33.5768360|-83.1671033
Gwinnett County|33.9591011|-84.0229381
Habersham County|34.6351078|-83.5264058
Hall County|34.3175876|-83.8184973
Hancock County|33.2692195|-83.0004653
Haralson County|33.7951649|-85.2200622
Harris County|32.7315494|-84.9124320
Hart County|34.3487328|-82.9632900
Heard County|33.2909683|-85.1395936
Henry County|33.4528811|-84.1544404
Houston County|32.4583811|-83.6628559
Irwin County|31.6043062|-83.2770374
Jackson County|34.1341570|-83.5651332
Jasper County|33.3149051|-83.6878919
Jeff Davis County|31.8116153|-82.6368248
Jefferson County|33.0518742|-82.4190497
Jenkins County|32.7945631|-81.9715244
Johnson County|32.6898312|-82.6613536
Jones County|33.0202261|-83.5623393
Lamar County|33.0744604|-84.1467206
Lanier County|31.0381973|-83.0631635
Laurens County|32.3932197|-82.9263171
Lee County|31.8184185|-84.1466814
Liberty County|31.8072445|-81.4579687
Lincoln County|33.7921507|-82.4482992
Long County|31.7495633|-81.7428697
Lowndes County|30.8336801|-83.2689668
Lumpkin County|34.5681492|-83.9988275
McDuffie County|33.4824637|-82.4731880
McIntosh County|31.4829776|-81.3701993
Macon County|32.3662155|-84.0521624
Madison County|34.1284855|-83.2036369
Marion County|32.3595381|-84.5295606
Meriwether County|33.0302196|-84.6632794
Miller County|31.1629079|-84.7303856
Mitchell County|31.2289404|-84.1924067
Monroe County|33.0174352|-83.9229376
Montgomery County|32.1721081|-82.5333487
Morgan County|33.5937317|-83.4923244
Murray County|34.7970974|-84.7379899
Muscogee County|32.5101970|-84.8749460
Newton County|33.5440455|-83.8551891
Oconee County|33.8341247|-83.4377284
Oglethorpe County|33.8668062|-83.0740805
Paulding County|33.9209028|-84.8669788
Peach County|32.5713241|-83.8319779
Pickens County|34.4566206|-84.4902556
Pierce County|31.3539879|-82.2104266
Pike County|33.0907685|-84.3866265
Polk County|33.9959611|-85.1868259
Pulaski County|32.2387936|-83.4818548
Putnam County|33.3210605|-83.3717898
Quitman County|31.8614871|-85.0093171
Rabun County|34.8830262|-83.4047353
Randolph County|31.7626510|-84.7523108
Richmond County|33.3614870|-82.0749983
Rockdale County|33.6520811|-84.0263696
Schley County|32.2634410|-84.3227238
Screven County|32.7447512|-81.6175849
Seminole County|30.9338940|-84.8675915
Spalding County|33.2623888|-84.2860671
Stephens County|34.5529139|-83.2902156
Stewart County|32.0732250|-84.8349117
Sumter County|32.0422026|-84.2042832
Talbot County|32.7046026|-84.5300288
Taliaferro County|33.5593144|-82.8752078
Tattnall County|32.0437683|-82.0592081
Taylor County|32.5546668|-84.2514261
Telfair County|31.9136387|-82.9310624
Terrell County|31.7771909|-84.4394464
Thomas County|30.8646156|-83.9197828
Tift County|31.4570027|-83.5259307
Toombs County|32.1266975|-82.3320708
Towns County|34.9026495|-83.7321583
Treutlen County|32.4095857|-82.5708819
Troup County|33.0344820|-85.0283600
Turner County|31.7182318|-83.6285665
Twiggs County|32.6658469|-83.4258792
Union County|34.8337696|-83.9895727
Upson County|32.8818366|-84.2922810
Walker County|34.7358269|-85.3053852
Walton County|33.7826485|-83.7342152
Ware County|31.0508810|-82.4215072
Warren County|33.4191691|-82.6880123
Washington County|32.9718477|-82.7981123
Wayne County|31.5478449|-81.9123763
Webster County|32.0465538|-84.5532179
Wheeler County|32.1092760|-82.7387013
White County|34.6436773|-83.7437125
Whitfield County|34.8017261|-84.9685410
Wilcox County|31.9627168|-83.4382617
Wilkes County|33.7790400|-82.7479223
Wilkinson County|32.8043209|-83.1755868
Worth County|31.5517733|-83.8499598
Hawaii County|19.5977643|-155.5024434
Honolulu County|21.4613641|-158.2019756
Kalawao County|21.2187644|-156.9740097
Kauai County|22.0120383|-159.7059653
Maui County|20.8559306|-156.6015503
Ada County|43.4478606|-116.2444560
Adams County|44.8845828|-116.4318730
Bannock County|42.6929385|-112.2289863
Bear Lake County|42.2858329|-111.3274448
Benewah County|47.2184513|-116.6335414
Bingham County|43.2163568|-112.3992058
Blaine County|43.3944816|-113.9552897
Boise County|43.9872749|-115.7151105
Bonner County|48.3125124|-116.5969397
Bonneville County|43.3951708|-111.6218783
Boundary County|48.7730651|-116.5246194
Butte County|43.6850995|-113.1776271
Camas County|43.4633958|-114.8044265
Canyon County|43.6230509|-116.7085267
Caribou County|42.7862726|-111.5441715
Cassia County|42.2886346|-113.6054984
Clark County|44.2862512|-112.3611202
Clearwater County|46.6725700|-115.6535003
Custer County|44.2733408|-114.2522508
Elmore County|43.3948263|-115.4707508
Franklin County|42.1735886|-111.8229553
Fremont County|44.2180909|-111.4844290
Gem County|44.0614727|-116.3987839
Gooding County|42.9731849|-114.8214203
Idaho County|45.8492367|-115.4673755
Jefferson County|43.7969649|-112.3185879
Jerome County|42.6911715|-114.2630091
Kootenai County|47.6771129|-116.6949184
Latah County|46.8189202|-116.7309737
Lemhi County|44.9287886|-113.8878408
Lewis County|46.2363277|-116.4237600
Lincoln County|42.9861805|-114.1538989
Madison County|43.7897087|-111.6565500
Minidoka County|42.8569373|-113.6400095
Nez Perce County|46.3337663|-116.7609025
Oneida County|42.1838897|-112.5204649
Owyhee County|42.5930630|-116.1426554
Payette County|44.0027397|-116.7486549
Power County|42.6941260|-112.8444070
Shoshone County|47.3476935|-115.8850916
Teton County|43.7609939|-111.2117653
Twin Falls County|42.3523090|-114.6656386
Valley County|44.7715315|-115.6378747
Washington County|44.4482128|-116.7978299
Adams County|39.9860525|-91.1949607
Alexander County|37.1836828|-89.3495061
Bond County|38.8859240|-89.4365916
Boone County|42.3189831|-88.8242951
Brown County|39.9620694|-90.7503095
Bureau County|41.4013043|-89.5283772
Calhoun County|39.1642619|-90.6662949
Carroll County|42.0590844|-89.9264854
Cass County|39.9692024|-90.2457045
Champaign County|40.1391496|-88.1972014
Christian County|39.5455242|-89.2795925
Clark County|39.3323642|-87.7916872
Clay County|38.7473124|-88.4837894
Clinton County|38.6064228|-89.4231363
Coles County|39.5136797|-88.2207820
Cook County|41.8942937|-87.6454546
Crawford County|39.0037296|-87.7571722
Cumberland County|39.2731210|-88.2406193
DeKalb County|41.8946125|-88.7689910
De Witt County|40.1814993|-88.9018526
Douglas County|39.7660780|-88.2228656
DuPage County|41.8520581|-88.0860383
Edgar County|39.6790370|-87.7471102
Edwards County|38.4170954|-88.0479408
Effingham County|39.0476943|-88.5927862
Fayette County|39.0011246|-89.0179232
Ford County|40.5944228|-88.2247456
Franklin County|37.9918483|-88.9262457
Fulton County|40.4656878|-90.2067925
Gallatin County|37.7686768|-88.2279642
Greene County|39.3554444|-90.3877569
Grundy County|41.2924096|-88.4010545
Hamilton County|38.0852260|-88.5390048
Hancock County|40.4057924|-91.1679875
Hardin County|37.5178517|-88.2661478
Henderson County|40.8151413|-90.9384797
Henry County|41.3500209|-90.1308378
Iroquois County|40.7488665|-87.8336010
Jackson County|37.7860959|-89.3812119
Jasper County|39.0048737|-88.1507629
Jefferson County|38.3007796|-88.9242100
Jersey County|39.0801918|-90.3613647
Jo Daviess County|42.3623905|-90.2114705
Johnson County|37.4608153|-88.8829622
Kane County|41.9395938|-88.4280395
Kankakee County|41.1394937|-87.8611252
Kendall County|41.5881403|-88.4306257
Knox County|40.9309412|-90.2137611
Lake County|42.3264435|-87.4361178
LaSalle County|41.3433407|-88.8859312
Lawrence County|38.7189542|-87.7302207
Lee County|41.7474419|-89.2993505
Livingston County|40.8943761|-88.5528518
Logan County|40.1290697|-89.3653078
McDonough County|40.4557890|-90.6775788
McHenry County|42.3242982|-88.4522450
McLean County|40.4945594|-88.8445391
Macon County|39.8602372|-88.9615288
Macoupin County|39.2659000|-89.9263435
Madison County|38.8270818|-89.9001954
Marion County|38.6483956|-88.9202214
Marshall County|41.0311192|-89.3423714
Mason County|40.2369926|-89.9135746
Massac County|37.2161190|-88.7056578
Menard County|40.0225693|-89.7941326
Mercer County|41.2047906|-90.7414333
Monroe County|38.2779831|-90.1790777
Montgomery County|39.2280917|-89.4780068
Morgan County|39.7168060|-90.2022771
Moultrie County|39.6368956|-88.6257259
Ogle County|42.0418840|-89.3201764
Peoria County|40.7859987|-89.7673577
Perry County|38.0843845|-89.3684869
Piatt County|40.0090561|-88.5923282
Pike County|39.6251059|-90.8890344
Pope County|37.4171687|-88.5423737
Pulaski County|37.2156152|-89.1277549
Putnam County|41.1989402|-89.2983864
Randolph County|38.0565149|-89.8212096
Richland County|38.7115503|-88.0856978
Rock Island County|41.4684044|-90.5722031
St. Clair County|38.4701976|-89.9285459
Saline County|37.7516531|-88.5450310
Sangamon County|39.7563782|-89.6623110
Schuyler County|40.1569048|-90.6134641
Scott County|39.6369795|-90.4777593
Shelby County|39.3849258|-88.7988615
Stark County|41.0969077|-89.7974111
Stephenson County|42.3497262|-89.6659942
Tazewell County|40.5080739|-89.5162597
Union County|37.4751042|-89.2528747
Vermilion County|40.1867398|-87.7267715
Wabash County|38.4458209|-87.8391674
Warren County|40.8504412|-90.6202228
Washington County|38.3531405|-89.4171873
Wayne County|38.4319482|-88.4321291
White County|38.0873720|-88.1785848
Whiteside County|41.7505708|-89.9109567
Will County|41.4484742|-87.9784564
Williamson County|37.7303533|-88.9300182
Winnebago County|42.3373957|-89.1612053
Woodford County|40.7895956|-89.2103006
Adams County|40.7457327|-84.9361305
Allen County|41.0918553|-85.0722302
Bartholomew County|39.2058430|-85.8979988
Benton County|40.6082528|-87.3154792
Blackford County|40.4726717|-85.3237297
Boone County|40.0508916|-86.4690137
Brown County|39.1925851|-86.2394102
Carroll County|40.5849801|-86.5651412
Cass County|40.7537986|-86.3551685
Clark County|38.4762174|-85.7111221
Clay County|39.3939513|-87.1158369
Clinton County|40.3059440|-86.4775665
Crawford County|38.2894327|-86.4408711
Daviess County|38.6961554|-87.0769883
Dearborn County|39.1514914|-84.9734596
Decatur County|39.3059799|-85.4998310
DeKalb County|41.4011894|-85.0001854
Delaware County|40.2271653|-85.3988555
Dubois County|38.3733441|-86.8733845
Elkhart County|41.6006928|-85.8639864
Fayette County|39.6396552|-85.1850315
Floyd County|38.3179365|-85.9114742
Fountain County|40.1212817|-87.2348063
Franklin County|39.4097621|-85.0669641
Fulton County|41.0503837|-86.2650060
Gibson County|38.3174127|-87.5805656
Grant County|40.5157575|-85.6549455
Greene County|39.0486004|-87.0052452
