"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","PISAMATH","BOY","MEANSCORE","A","2015",507,
"FRA","PISAMATH","BOY","MEANSCORE","A","2003",515,
"FRA","PISAMATH","BOY","MEANSCORE","A","2006",499,
"FRA","PISAMATH","BOY","MEANSCORE","A","2009",505,
"FRA","PISAMATH","BOY","MEANSCORE","A","2012",499.355,
"FRA","PISAMATH","BOY","MEANSCORE","A","2015",496,
"DEU","PISAMATH","BOY","MEANSCORE","A","2003",508,
"DEU","PISAMATH","BOY","MEANSCORE","A","2006",513,
"DEU","PISAMATH","BOY","MEANSCORE","A","2009",520,
"DEU","PISAMATH","BOY","MEANSCORE","A","2012",520.19,
"DEU","PISAMATH","BOY","MEANSCORE","A","2015",514,
"GRC","PISAMATH","BOY","MEANSCORE","A","2003",455,
"GRC","PISAMATH","BOY","MEANSCORE","A","2006",462,
"GRC","PISAMATH","BOY","MEANSCORE","A","2009",473,
"GRC","PISAMATH","BOY","MEANSCORE","A","2012",457.039,
"GRC","PISAMATH","BOY","MEANSCORE","A","2015",454,
"HUN","PISAMATH","BOY","MEANSCORE","A","2003",494,
"HUN","PISAMATH","BOY","MEANSCORE","A","2006",496,
"HUN","PISAMATH","BOY","MEANSCORE","A","2009",496,
"HUN","PISAMATH","BOY","MEANSCORE","A","2012",481.749,
"HUN","PISAMATH","BOY","MEANSCORE","A","2015",481,
"ISL","PISAMATH","BOY","MEANSCORE","A","2003",508,
"ISL","PISAMATH","BOY","MEANSCORE","A","2006",503,
"ISL","PISAMATH","BOY","MEANSCORE","A","2009",508,
"ISL","PISAMATH","BOY","MEANSCORE","A","2012",489.72,
"ISL","PISAMATH","BOY","MEANSCORE","A","2015",487,
"IRL","PISAMATH","BOY","MEANSCORE","A","2003",510,
"IRL","PISAMATH","BOY","MEANSCORE","A","2006",507,
"IRL","PISAMATH","BOY","MEANSCORE","A","2009",491,
"IRL","PISAMATH","BOY","MEANSCORE","A","2012",509.035,
"IRL","PISAMATH","BOY","MEANSCORE","A","2015",512,
"ITA","PISAMATH","BOY","MEANSCORE","A","2003",475,
"ITA","PISAMATH","BOY","MEANSCORE","A","2006",470,
"ITA","PISAMATH","BOY","MEANSCORE","A","2009",490,
"ITA","PISAMATH","BOY","MEANSCORE","A","2012",494.199,
"ITA","PISAMATH","BOY","MEANSCORE","A","2015",500,
"JPN","PISAMATH","BOY","MEANSCORE","A","2003",539,
"JPN","PISAMATH","BOY","MEANSCORE","A","2006",533,
"JPN","PISAMATH","BOY","MEANSCORE","A","2009",534,
"JPN","PISAMATH","BOY","MEANSCORE","A","2012",544.884,
"JPN","PISAMATH","BOY","MEANSCORE","A","2015",539,
"KOR","PISAMATH","BOY","MEANSCORE","A","2003",552,
"KOR","PISAMATH","BOY","MEANSCORE","A","2006",552,
"KOR","PISAMATH","BOY","MEANSCORE","A","2009",548,
"KOR","PISAMATH","BOY","MEANSCORE","A","2012",562.114,
"KOR","PISAMATH","BOY","MEANSCORE","A","2015",521,
"LUX","PISAMATH","BOY","MEANSCORE","A","2003",502,
"LUX","PISAMATH","BOY","MEANSCORE","A","2006",498,
"LUX","PISAMATH","BOY","MEANSCORE","A","2009",499,
"LUX","PISAMATH","BOY","MEANSCORE","A","2012",502.193,
"LUX","PISAMATH","BOY","MEANSCORE","A","2015",491,
"MEX","PISAMATH","BOY","MEANSCORE","A","2003",391,
"MEX","PISAMATH","BOY","MEANSCORE","A","2006",410,
"MEX","PISAMATH","BOY","MEANSCORE","A","2009",425,
"MEX","PISAMATH","BOY","MEANSCORE","A","2012",420.411,
"MEX","PISAMATH","BOY","MEANSCORE","A","2015",412,
"NLD","PISAMATH","BOY","MEANSCORE","A","2003",540,
"NLD","PISAMATH","BOY","MEANSCORE","A","2006",537,
"NLD","PISAMATH","BOY","MEANSCORE","A","2009",534,
"NLD","PISAMATH","BOY","MEANSCORE","A","2012",527.967,
"NLD","PISAMATH","BOY","MEANSCORE","A","2015",513,
"NZL","PISAMATH","BOY","MEANSCORE","A","2003",531,
"NZL","PISAMATH","BOY","MEANSCORE","A","2006",527,
"NZL","PISAMATH","BOY","MEANSCORE","A","2009",523,
"NZL","PISAMATH","BOY","MEANSCORE","A","2012",507.112,
"NZL","PISAMATH","BOY","MEANSCORE","A","2015",499,
"NOR","PISAMATH","BOY","MEANSCORE","A","2003",498,
"NOR","PISAMATH","BOY","MEANSCORE","A","2006",493,
"NOR","PISAMATH","BOY","MEANSCORE","A","2009",500,
"NOR","PISAMATH","BOY","MEANSCORE","A","2012",490.399,
"NOR","PISAMATH","BOY","MEANSCORE","A","2015",501,
"POL","PISAMATH","BOY","MEANSCORE","A","2003",493,
"POL","PISAMATH","BOY","MEANSCORE","A","2006",500,
"POL","PISAMATH","BOY","MEANSCORE","A","2009",497,
"POL","PISAMATH","BOY","MEANSCORE","A","2012",519.564,
"POL","PISAMATH","BOY","MEANSCORE","A","2015",510,
"PRT","PISAMATH","BOY","MEANSCORE","A","2003",472,
"PRT","PISAMATH","BOY","MEANSCORE","A","2006",474,
"PRT","PISAMATH","BOY","MEANSCORE","A","2009",493,
"PRT","PISAMATH","BOY","MEANSCORE","A","2012",492.703,
"PRT","PISAMATH","BOY","MEANSCORE","A","2015",497,
"SVK","PISAMATH","BOY","MEANSCORE","A","2003",507,
"SVK","PISAMATH","BOY","MEANSCORE","A","2006",499,
"SVK","PISAMATH","BOY","MEANSCORE","A","2009",498,
"SVK","PISAMATH","BOY","MEANSCORE","A","2012",486.134,
"SVK","PISAMATH","BOY","MEANSCORE","A","2015",478,
"ESP","PISAMATH","BOY","MEANSCORE","A","2003",490,
"ESP","PISAMATH","BOY","MEANSCORE","A","2006",484,
"ESP","PISAMATH","BOY","MEANSCORE","A","2009",493,
"ESP","PISAMATH","BOY","MEANSCORE","A","2012",492.422,
"ESP","PISAMATH","BOY","MEANSCORE","A","2015",494,
"SWE","PISAMATH","BOY","MEANSCORE","A","2003",512,
"SWE","PISAMATH","BOY","MEANSCORE","A","2006",505,
"SWE","PISAMATH","BOY","MEANSCORE","A","2009",493,
"SWE","PISAMATH","BOY","MEANSCORE","A","2012",476.916,
"SWE","PISAMATH","BOY","MEANSCORE","A","2015",493,
"CHE","PISAMATH","BOY","MEANSCORE","A","2003",535,
"CHE","PISAMATH","BOY","MEANSCORE","A","2006",536,
"CHE","PISAMATH","BOY","MEANSCORE","A","2009",544,
"CHE","PISAMATH","BOY","MEANSCORE","A","2012",537.369,
"CHE","PISAMATH","BOY","MEANSCORE","A","2015",527,
"TUR","PISAMATH","BOY","MEANSCORE","A","2003",430,
"TUR","PISAMATH","BOY","MEANSCORE","A","2006",427,
"TUR","PISAMATH","BOY","MEANSCORE","A","2009",451,
"TUR","PISAMATH","BOY","MEANSCORE","A","2012",451.934,
"TUR","PISAMATH","BOY","MEANSCORE","A","2015",423,
"GBR","PISAMATH","BOY","MEANSCORE","A","2006",504,
"GBR","PISAMATH","BOY","MEANSCORE","A","2009",503,
"GBR","PISAMATH","BOY","MEANSCORE","A","2012",500.295,
"GBR","PISAMATH","BOY","MEANSCORE","A","2015",498,
"USA","PISAMATH","BOY","MEANSCORE","A","2003",486,
"USA","PISAMATH","BOY","MEANSCORE","A","2006",479,
"USA","PISAMATH","BOY","MEANSCORE","A","2009",497,
"USA","PISAMATH","BOY","MEANSCORE","A","2012",483.647,
"USA","PISAMATH","BOY","MEANSCORE","A","2015",474,
"BRA","PISAMATH","BOY","MEANSCORE","A","2003",365,
"BRA","PISAMATH","BOY","MEANSCORE","A","2006",380,
"BRA","PISAMATH","BOY","MEANSCORE","A","2009",394,
"BRA","PISAMATH","BOY","MEANSCORE","A","2012",400.769,
"BRA","PISAMATH","BOY","MEANSCORE","A","2015",385,
"CHL","PISAMATH","BOY","MEANSCORE","A","2006",424,
"CHL","PISAMATH","BOY","MEANSCORE","A","2009",431,
"CHL","PISAMATH","BOY","MEANSCORE","A","2012",435.525,
"CHL","PISAMATH","BOY","MEANSCORE","A","2015",432,
"EST","PISAMATH","BOY","MEANSCORE","A","2006",515,
"EST","PISAMATH","BOY","MEANSCORE","A","2009",516,
"EST","PISAMATH","BOY","MEANSCORE","A","2012",523.214,
"EST","PISAMATH","BOY","MEANSCORE","A","2015",522,
"IDN","PISAMATH","BOY","MEANSCORE","A","2003",362,
"IDN","PISAMATH","BOY","MEANSCORE","A","2006",399,
"IDN","PISAMATH","BOY","MEANSCORE","A","2009",371,
"IDN","PISAMATH","BOY","MEANSCORE","A","2012",377.376,
"IDN","PISAMATH","BOY","MEANSCORE","A","2015",385,
"ISR","PISAMATH","BOY","MEANSCORE","A","2006",448,
"ISR","PISAMATH","BOY","MEANSCORE","A","2009",451,
"ISR","PISAMATH","BOY","MEANSCORE","A","2012",472.398,
"ISR","PISAMATH","BOY","MEANSCORE","A","2015",474,
"RUS","PISAMATH","BOY","MEANSCORE","A","2003",473,
"RUS","PISAMATH","BOY","MEANSCORE","A","2009",469,
"RUS","PISAMATH","BOY","MEANSCORE","A","2012",481.394,
"RUS","PISAMATH","BOY","MEANSCORE","A","2015",497,
"SVN","PISAMATH","BOY","MEANSCORE","A","2006",507,
"SVN","PISAMATH","BOY","MEANSCORE","A","2009",502,
"SVN","PISAMATH","BOY","MEANSCORE","A","2012",502.748,
"SVN","PISAMATH","BOY","MEANSCORE","A","2015",512,
"OAVG","PISAMATH","BOY","MEANSCORE","A","2003",505.333,
"OAVG","PISAMATH","BOY","MEANSCORE","A","2006",499.706,
"OAVG","PISAMATH","BOY","MEANSCORE","A","2009",501.382,
"OAVG","PISAMATH","BOY","MEANSCORE","A","2012",499.421,
"OAVG","PISAMATH","BOY","MEANSCORE","A","2015",494,
"LVA","PISAMATH","BOY","MEANSCORE","A","2015",481,
"SGP","PISAMATH","BOY","MEANSCORE","A","2015",564,
"COL","PISAMATH","BOY","MEANSCORE","A","2015",395,
"HKG","PISAMATH","BOY","MEANSCORE","A","2015",549,
"PER","PISAMATH","BOY","MEANSCORE","A","2015",391,
"TWN","PISAMATH","BOY","MEANSCORE","A","2015",545,
"MAC","PISAMATH","BOY","MEANSCORE","A","2015",540,
