Id,Plattform,Ende,Seiteninteraktionen,„Gefällt mir“-Angaben für Seite,Beitragskommentare,Beitragsinteraktionen,Beitragsreaktionen,Geteilte Beiträge,Fotoaufrufe,Kosten pro Seiteninteraktion (EUR),Kosten pro „Gefällt mir“ für Seite (EUR),Kosten pro Beitragskommentar (EUR),Kosten pro Beitragsinteraktion (EUR),Kosten pro Beitragsreaktion (EUR),Kosten pro geteiltem Beitrag (EUR),Kosten pro Fotoaufruf (EUR),Durchschnittliche Wiedergabedauer,Videowiedergabe in %,Link-Klicks,Individuelle Link-Klicks,Ausgehende Klicks,Individuelle ausgehende Klicks,CTR (Link-Klickrate),Individuelle CTR (Link-Klickrate),Ausgehende CTR (Klickrate),Individuelle ausgehende CTR (Klickrate),Individuelle Klicks (alle),Individuelle CTR (alle),CPC (Kosten pro Link-Klick) (EUR),Kosten pro individuellem Link-Klick (EUR),Kosten pro ausgehendem Klick (EUR),Kosten pro individuellem ausgehendem Klick (EUR),Kosten pro individuellem Klick (alle) (EUR),Geschätzte Steigerung der Werbeerinnerung (Personen),Geschätzte Steigerungsrate der Werbeerinnerung,Ziel,Ergebnisse,Indikator für Ergebnisse,Ergebnisrate,Reichweite,Frequenz,Impressionen,Auslieferung,Ausgegebener Betrag (EUR),Klicks (alle),CPC (alle) (EUR),CTR (alle),Brutto-Impressionen (enthält ungültige Impressionen von nicht Non-Human Traffic),Kosten pro Ergebnis,Kosten pro 1.000 erreichten Personen (EUR),CPM (Kosten pro 1.000 Impressionen) (EUR)
13,Facebook,6/12/2018,2,NA,NA,2,NA,NA,NA,"0,245",NA,NA,"0,245",NA,NA,NA,0:00:00,0,2,2,2,2,"2,985074627","3,03030303","2,985074627","3,03030303",2,"3,03030303","0,245","0,245","0,245","0,245","0,245",0,0,Traffic,2,actions:link_click,"2,985074627",66,"1,015151515",67,completed,"0,49",2,"0,245","2,985074627",72,"0,245","7,424242424","7,313432836"
14,Messenger,6/10/2018,52,NA,NA,52,NA,NA,NA,"1,165961538",NA,NA,"1,165961538",NA,NA,NA,0:00:00,0,52,50,52,49,"0,4118159499","0,5692167577","0,4118159499","0,5578324226",49,"0,5578324226","1,165961538","1,2126","1,165961538","1,237346939","1,237346939",0,0,Traffic,52,actions:link_click,"0,4118159499",8784,"1,4375",12627,completed,"60,63",51,"1,188823529","0,4038964124",13757,"1,165961538","6,902322404","4,801615586"
15,Messenger,6/17/2018,105,NA,NA,105,NA,NA,NA,"1,054",NA,NA,"1,054",NA,NA,NA,0:00:00,0,105,102,105,105,"0,5381579622","0,6899350649","0,5381579622","0,7102272727",102,"0,6899350649","1,054","1,085","1,054","1,054","1,085",0,0,Traffic,105,actions:link_click,"0,5381579622",14784,"1,319737554",19511,completed,"110,67",103,"1,074466019","0,5279073343",21394,"1,054","7,485795455","5,672184921"
16,Facebook,6/12/2018,25,NA,NA,25,NA,NA,NA,"0,1628",NA,NA,"0,1628",NA,NA,NA,0:00:00,0,25,25,25,25,"4,95049505","4,96031746","4,95049505","4,96031746",25,"4,96031746","0,1628","0,1628","0,1628","0,1628","0,1628",0,0,App-Installationen,NA,NA,NA,504,"1,001984127",505,completed,"4,07",25,"0,1628","4,95049505",532,NA,"8,075396825","8,059405941"
17,Facebook,5/26/2018,219,6,NA,213,36,2,NA,"3,194840183","116,6116667",NA,"3,284835681","19,43527778","349,835",NA,0:00:00,0,175,159,175,156,"0,1884435638","0,3637361883","0,1884435638","0,3568732414",159,"0,3637361883","3,998114286","4,400440252","3,998114286","4,485064103","4,400440252",0,0,App-Installationen,NA,NA,NA,43713,"2,124448105",92866,completed,"699,67",169,"4,140059172","0,1819826417",93459,NA,"16,00599364","7,534189047"
18,Facebook,5/21/2018,31469,1,56,31468,771,199,NA,"0,03177730465",1000,"17,85714286","0,03177831448","1,297016861","5,025125628",NA,0:00:03,"10,87",2124,1958,NA,NA,"1,210615111","3,085699877",NA,NA,5056,"7,967976802","0,4708097928","0,5107252298",NA,NA,"0,1977848101",0,0,Veranstaltungszu-/absagen,2396,actions:rsvp,"1,365646801",63454,"2,764963596",175448,completed,1000,6797,"0,1471237311","3,874082349",178857,"0,4173622705","15,75944779","5,699694496"
19,Facebook,5/13/2018,35801,19,7,35782,217,38,NA,"0,01061422865",20,"54,28571429","0,01061986474","1,751152074",10,NA,0:00:07,"3,54",15,15,15,15,"0,01485163219","0,02175174014","0,01485163219","0,02175174014",1831,"2,655162413","25,33333333","25,33333333","25,33333333","25,33333333","0,2075368651",5680,"8,236658933",Videoaufrufe,14797,video_10_sec_watched_actions,"14,65064011",68960,"1,464602668",100999,completed,380,2136,"0,1779026217","2,114872424",102015,"0,02568088126","5,510440835","3,762413489"
20,Facebook,5/12/2018,1190,12,22,1178,26,7,NA,"0,1635966387","16,22333333","8,849090909","0,1652631579","7,487692308","27,81142857",NA,0:00:00,0,1123,1110,1123,1121,"2,308182435","2,729552943","2,308182435","2,756602567",1763,"4,335316972","0,1733570793","0,1753873874","0,1733570793","0,1736663693","0,1104254112",0,0,Traffic,1123,actions:link_click,"2,308182435",40666,"1,196404859",48653,completed,"194,68",2178,"0,08938475666","4,476599593",49279,"0,1733570793","4,787291595","4,001397653"
21,Facebook,5/10/2018,52420,21,117,52399,136,19,NA,"0,0066768409","16,66666667","2,991452991","0,006679516785","2,573529412","18,42105263",NA,0:00:10,"15,42",NA,NA,NA,NA,NA,0,NA,NA,5562,"5,503661191",NA,NA,NA,NA,"0,06292700467",26900,"26,61785078",Videoaufrufe,26170,video_10_sec_watched_actions,"23,02582376",101060,"1,124628933",113655,completed,350,6477,"0,05403736298","5,698825393",116152,"0,01337409247","3,463289135","3,079494963"
22,Facebook,5/18/2018,800,23,5,777,148,14,1,"0,8608125","29,94130435","137,73","0,8862934363","4,653040541","49,18928571","688,65",0:00:00,0,609,554,609,546,"0,3886729595","1,606122981","0,3886729595","1,58292987",884,"2,562838837","1,130788177","1,243050542","1,130788177","1,261263736","0,7790158371",0,0,Traffic,609,actions:link_click,"0,3886729595",34493,"4,542573856",156687,completed,"688,65",1063,"0,6478363123","0,6784225877",158144,"1,130788177","19,96492042","4,395067874"
23,Facebook,5/6/2018,35129,8,8,35121,196,23,NA,"0,01081727348","47,5","47,5","0,01081973748","1,93877551","16,52173913",NA,0:00:07,"3,55",12,12,12,12,"0,01262892023","0,01831054688","0,01262892023","0,01831054688",1481,"2,25982666","31,66666667","31,66666667","31,66666667","31,66666667","0,2565833896",6950,"10,6048584",Videoaufrufe,13827,video_10_sec_watched_actions,"14,55167333",65536,"1,449890137",95020,completed,380,1714,"0,2217036173","1,803830772",95875,"0,02748246185","5,798339844","3,999158072"
24,Instagram,5/12/2018,25,NA,NA,25,9,1,NA,"0,2092",NA,NA,"0,2092","0,5811111111","5,23",NA,0:00:00,0,15,15,15,15,"0,9505703422","0,9505703422","0,9505703422","0,9505703422",19,"1,204055767","0,3486666667","0,3486666667","0,3486666667","0,3486666667","0,2752631579",0,0,Traffic,15,actions:link_click,"0,9505703422",1578,1,1578,completed,"5,23",20,"0,2615","1,267427123",1580,"0,3486666667","3,314321926","3,314321926"
25,Messenger,5/12/2018,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:00:00,0,1,1,1,1,"0,7407407407","0,8333333333","0,7407407407","0,8333333333",1,"0,8333333333",NA,0,NA,NA,0,0,0,Traffic,1,actions:link_click,"0,7407407407",120,"1,125",135,completed,0,1,0,"0,7407407407",152,NA,0,0
26,Messenger,5/18/2018,57,NA,NA,57,NA,NA,NA,"1,070526316",NA,NA,"1,070526316",NA,NA,NA,0:00:00,0,57,56,57,52,"0,6348852751","0,9841827768","0,6348852751","0,913884007",56,"0,9841827768","1,070526316","1,089642857","1,070526316","1,173461538","1,089642857",0,0,Traffic,57,actions:link_click,"0,6348852751",5690,"1,577855888",8978,completed,"61,02",57,"1,070526316","0,6348852751",9863,"1,070526316","10,72407733","6,796613945"
27,Facebook,5/6/2018,770,13,1,757,149,6,NA,"0,6491558442","38,45","499,85","0,6603038309","3,354697987","83,30833333",NA,0:00:00,0,601,564,601,571,"0,448798847","0,8211160773","0,448798847","0,8313072343",873,"1,270982864","0,8316971714","0,8862588652","0,8316971714","0,8753940455","0,5725658648",0,0,Traffic,601,actions:link_click,"0,448798847",68687,"1,949612008",133913,completed,"499,85",971,"0,5147785788","0,725097638",135098,"0,8316971714","7,277214029","3,732647316"
28,Messenger,5/6/2018,111,NA,NA,111,NA,NA,NA,"0,9571171171",NA,NA,"0,9571171171",NA,NA,NA,0:00:00,0,111,108,111,108,"0,611907387","0,7670454545","0,611907387","0,7670454545",108,"0,7670454545","0,9571171171","0,9837037037","0,9571171171","0,9837037037","0,9837037037",0,0,Traffic,111,actions:link_click,"0,611907387",14080,"1,288352273",18140,completed,"106,24",111,"0,9571171171","0,611907387",20488,"0,9571171171","7,545454545","5,856670342"
29,Nicht kategorisiert,5/6/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:00:00,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,Traffic,NA,NA,NA,0,0,0,completed,0,0,0,0,3,NA,0,0
30,Audience Network,4/15/2018,27672,NA,NA,27672,NA,NA,NA,"0,003950826352",NA,NA,"0,003950826352",NA,NA,NA,0:00:07,"3,74",71,71,71,69,"0,2567440515","0,5464901478","0,2567440515","0,5310960591",68,"0,5233990148","1,539820659","1,539820659","1,539820659","1,584453142","1,607753924",600,"4,618226601",Videoaufrufe,3458,video_10_sec_watched_actions,"12,50452014",12992,"2,12854064",27654,completed,"109,3272668",68,"1,607753924","0,2458957113",29590,"0,03161575096","8,414968197","3,953397947"
31,Facebook,4/28/2018,745,14,3,731,34,NA,NA,"1,229503356","65,42714286","305,3266667","1,253050616","26,94058824",NA,NA,0:00:00,0,694,670,694,671,"0,6070147818","1,032707543","0,6070147818","1,034248898",1011,"1,558309442","1,319855908","1,367134328","1,319855908","1,36509687","0,9060138477",0,0,Traffic,694,actions:link_click,"0,6070147818",64878,"1,762230648",114330,completed,"915,98",1155,"0,7930562771","1,010233535",115481,"1,319855908","14,11849934","8,011720458"
32,Facebook,4/15/2018,2940,41,18,2899,70,6,NA,"0,1011496599","7,253170732","16,52111111","0,1025802001","4,248285714","49,56333333",NA,0:00:00,0,2805,2709,2805,2711,"3,174908601","3,514256804","3,174908601","3,516851309",3594,"4,662325195","0,1060178253","0,1097748247","0,1060178253","0,1096938399","0,08274346132",0,0,Traffic,2805,actions:link_click,"3,174908601",77086,"1,14610954",88349,completed,"297,38",4666,"0,06373339048","5,281327463",90467,"0,1060178253","3,857769245","3,365969055"
33,Facebook,4/15/2018,173,NA,8,173,91,4,66,"0,06947976879",NA,"1,5025","0,06947976879","0,1320879121","3,005","0,1821212121",0:00:00,0,4,4,4,4,"0,04715312979","0,05847953216","0,04715312979","0,05847953216",265,"3,874269006","3,005","3,005","3,005","3,005","0,04535849057",1900,"27,77777778",Interaktionen,173,actions:post_engagement,"2,039372863",6840,"1,240204678",8483,completed,"12,02",290,"0,04144827586","3,41860191",8671,"0,06947976879","1,757309942","1,41695155"
34,Facebook,4/15/2018,25506,NA,1,25506,69,3,NA,"0,01139624924",NA,"290,6727332","0,01139624924","4,212648307","96,89091106",NA,0:00:07,"3,71",299,284,299,281,"0,4651452218","0,6228206759","0,4651452218","0,6162415842",771,"1,690826553","0,9721496093","1,023495539","0,9721496093","1,034422538","0,377007436",3960,"8,684400974",Videoaufrufe,11375,video_10_sec_watched_actions,"17,69574213",45599,"1,409701967",64281,completed,"290,6727332",879,"0,3306857033","1,367433612",64961,"0,02555364687","6,374541836","4,521907456"
35,Instagram,4/28/2018,64,NA,2,64,29,NA,NA,"0,846875",NA,"27,1","0,846875","1,868965517",NA,NA,0:00:00,0,33,33,33,33,"0,4048582996","0,4158266129","0,4048582996","0,4158266129",37,"0,4662298387","1,642424242","1,642424242","1,642424242","1,642424242","1,464864865",0,0,Traffic,33,actions:link_click,"0,4048582996",7936,"1,027091734",8151,completed,"54,2",38,"1,426315789","0,4662004662",8157,"1,642424242","6,829637097","6,64949086"
36,Instagram,4/28/2018,51611,NA,NA,51611,NA,NA,NA,"0,02324504466",NA,NA,"0,02324504466",NA,NA,NA,0:00:03,"23,44",4038,3932,4038,3934,"1,630118848","2,399492274","1,630118848","2,400712769",4035,"2,462347743","0,297102526","0,3051119023","0,297102526","0,304956787","0,2973234201",0,0,Traffic,4038,actions:link_click,"1,630118848",163868,"1,511655723",247712,completed,"1199,7",4153,"0,2888755117","1,676543728",248032,"0,297102526","7,321136525","4,843124273"
37,Instagram,4/28/2018,75,NA,NA,75,31,NA,NA,"0,7226666667",NA,NA,"0,7226666667","1,748387097",NA,NA,0:00:00,0,44,44,44,44,"0,7102502018","0,7102502018","0,7102502018","0,7102502018",51,"0,8232445521","1,231818182","1,231818182","1,231818182","1,231818182","1,062745098",0,0,Traffic,44,actions:link_click,"0,7102502018",6195,1,6195,completed,"54,2",52,"1,042307692","0,8393866021",6202,"1,231818182","8,748991122","8,748991122"
38,Instagram,5/18/2018,2134,NA,20,2134,830,44,NA,"0,4685379569",NA,"49,993","0,4685379569","1,204650602","22,72409091",NA,0:00:00,0,1240,1112,1240,1138,"0,5986925328","1,06406392","0,5986925328","1,088943113",1382,"1,322424764","0,8063387097","0,8991546763","0,8063387097","0,8786115993","0,723487699",0,0,Traffic,1240,actions:link_click,"0,5986925328",104505,"1,981895603",207118,completed,"999,86",1549,"0,6454874112","0,7478828494",207405,"0,8063387097","9,567580499","4,827489644"
39,Instagram,4/15/2018,8,NA,NA,8,3,NA,NA,"0,3275",NA,NA,"0,3275","0,8733333333",NA,NA,0:00:00,0,5,5,5,5,"0,5464480874","0,548245614","0,5464480874","0,548245614",6,"0,6578947368","0,524","0,524","0,524","0,524","0,4366666667",0,0,Traffic,5,actions:link_click,"0,5464480874",912,"1,003289474",915,completed,"2,62",6,"0,4366666667","0,6557377049",916,"0,524","2,872807018","2,863387978"
40,Instagram,4/15/2018,4963,NA,11,4963,4849,41,NA,"0,0983235946",NA,"44,36181818","0,0983235946","0,1006351825","11,90195122",NA,0:00:00,0,62,62,62,62,"0,2001097376","0,2176354956","0,2001097376","0,2176354956",106,"0,3720864926","7,870645161","7,870645161","7,870645161","7,870645161","4,603584906",2420,"8,49480483",Interaktionen,4963,actions:post_engagement,"16,01846174",28488,"1,087580736",30983,completed,"487,98",107,"4,560560748","0,3453506762",31122,"0,0983235946","17,12931761","15,74992738"
41,Nicht kategorisiert,4/28/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:00:00,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,Traffic,NA,NA,NA,0,0,0,completed,0,0,0,0,4,NA,0,0
42,Nicht kategorisiert,4/28/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:00:00,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,Traffic,NA,NA,NA,0,0,0,completed,0,0,0,0,6,NA,0,0
43,Nicht kategorisiert,4/28/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:00:00,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,Traffic,NA,NA,NA,0,0,0,completed,0,0,0,0,1,NA,0,0
44,Nicht kategorisiert,4/15/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:00:00,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,Traffic,NA,NA,NA,0,0,0,completed,0,0,0,0,2,NA,0,0
45,Nicht kategorisiert,4/15/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:00:00,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,Videoaufrufe,NA,NA,NA,0,0,0,completed,0,0,0,0,3,NA,0,0
46,Facebook,4/15/2018,1990,66,86,1924,337,57,NA,"0,07537688442","2,272727273","1,744186047","0,07796257796","0,4451038576","2,631578947",NA,0:00:00,0,1444,1299,1444,1320,"2,888982254","4,388661779","2,888982254","4,459610122",2091,"7,064427852","0,1038781163","0,1154734411","0,1038781163","0,1136363636","0,07173601148",0,0,Traffic,1444,actions:link_click,"2,888982254",29599,"1,688671915",49983,completed,150,3152,"0,04758883249","6,306144089",50898,"0,1038781163","5,067738775","3,001020347"
47,Nicht kategorisiert,4/15/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:00:00,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,Traffic,NA,NA,NA,0,0,0,completed,0,0,0,0,1,NA,0,0
48,Audience Network,2/25/2018,334,NA,NA,334,NA,NA,NA,"0,2308992813",NA,NA,"0,2308992813",NA,NA,NA,0:00:00,0,334,307,334,312,"0,4083828528","0,8069179414","0,4083828528","0,8200599275",289,"0,7596067918","0,2308992813","0,2512063842","0,2308992813","0,2471806409","0,2668524566",0,0,Traffic,334,actions:link_click,"0,4083828528",38046,"2,149660937",81786,completed,"77,12035996",315,"0,2448265395","0,3851514929",87859,"0,2308992813","2,027029384","0,9429530721"
49,Audience Network,3/11/2018,285,NA,NA,285,NA,NA,NA,"0,3729824561",NA,NA,"0,3729824561",NA,NA,NA,0:00:00,0,285,262,285,262,"0,810073333","1,317443556","0,810073333","1,317443556",253,"1,272187861","0,3729824561","0,4057251908","0,3729824561","0,4057251908","0,4201581028",0,0,Traffic,285,actions:link_click,"0,810073333",19887,"1,769095389",35182,completed,"106,3",273,"0,3893772894","0,7759649821",37987,"0,3729824561","5,345200382","3,021431414"
50,Facebook,4/14/2018,386,19,NA,367,80,5,NA,"0,7923834197","16,09789474",NA,"0,8334059946","3,82325","61,172",NA,0:00:00,0,282,271,282,265,"0,5863273453","1,046170476","0,5863273453","1,02300803",539,"2,080759728","1,084609929","1,128634686","1,084609929","1,154188679","0,567458256",0,0,Traffic,282,actions:link_click,"0,5863273453",25904,"1,856701668",48096,completed,"305,86",600,"0,5097666667","1,24750499",49020,"1,084609929","11,80744287","6,359364604"
51,Facebook,3/29/2018,1786,82,51,1704,816,115,228,"0,1119820829","2,43902439","3,921568627","0,117370892","0,2450980392","1,739130435","0,8771929825",0:00:00,0,494,451,494,443,"1,255623618","1,633288668","1,255623618","1,604316807",1952,"7,069134104","0,4048582996","0,44345898","0,4048582996","0,4514672686","0,1024590164",7820,"28,31999421",Interaktionen,1704,actions:post_engagement,"4,331138957",27613,"1,424799913",39343,completed,200,2521,"0,07933359778","6,407747249",39905,"0,117370892","7,24296527","5,083496429"
52,Facebook,2/25/2018,495,19,6,476,136,18,NA,"0,3075777144","8,013208875","25,37516144","0,3198549761","1,119492416","8,458387146",NA,0:00:00,0,316,273,316,263,"1,014837176","1,753709771","1,014837176","1,689471318",508,"3,263313419","0,4818068627","0,5576958558","0,4818068627","0,5789010214","0,2997066312",0,0,Traffic,316,actions:link_click,"1,014837176",15567,"2,000256954",31138,completed,"152,2509686",673,"0,2262272937","2,161346265",31693,"0,4818068627","9,780366713","4,889555162"
53,Facebook,3/25/2018,53948,28,43,53920,631,175,NA,"0,007414547342","14,28571429","9,302325581","0,007418397626","0,6339144216","2,285714286",NA,0:00:08,"4,44",NA,NA,NA,NA,NA,0,NA,NA,3350,"3,084032995",NA,NA,NA,NA,"0,1194029851",6640,"6,112829577",Videoaufrufe,18698,video_10_sec_watched_actions,"12,73089991",108624,"1,352104507",146871,completed,400,4334,"0,09229349331","2,950888875",148348,"0,02139266232","3,682427456","2,723478427"
